genre,original_lyric,generated_lyric,model,genre_class_act,genre_class_pred,correct_classifcation
folk,i know how it feels to be head over heels   to be lost in true,"i know how it feels to be head over heels   to be lost in true 
 and i will be home 
 and i could see you again 
 now i can't wait to be my baby 
 i want to see you again 
 i just want to see you again 
 i want to see you again 
 i want to see you again 
 i just want to be on the other side 
 i want to be a girl who loves me 
 for i am blind i 
 i love you 
 i believe i love you 
 i can't let you smile 
 and i can't forget i don't",Baseline,0,6,0
folk,holy war   genocide   suicide   hate and cruelty...   how can this be holy,"holy war   genocide   suicide   hate and cruelty   how can this be holy and the man and the people you can hear me when 
 but the losers is endless 
 and i will be just like a schoolboy 
 and i don't know what to do 
 i don't why it hurts it 
 that it was just a long time 
 when the rain falls 
 it was the war 
 they never squandered 
 and they laughed 
 the wings was agetting' 
 it's the pages 
 the doctors flow 
 the golden was pitching 
 and the devil's is slowly 
 the mourning is full of memories 
 and",Baseline,0,0,1
folk,"late last night so far away   i dreamed myself a dream   well, i dreamed","late last night so far away   i dreamed myself a dream   well i dreamed a caw 
 they tell him how they are you on the hall 
 it was stayed and the nest 
 and the mountains are changing 
 and the sun is bare 
 for the river 
 i will give you a dime 
 you can see the softness 
 you can find your face 
 you can go away 
 it's torn to be miserable 
 that it's true 
 a prisoner of your broken heart 
 all my mind's 
 gentle heart 
 
 i know i'm the guilty place 
 i can always see you 
 i",Baseline,0,1,0
folk,photographs and memories   christmas cards you sent to me   all that i have are,"photographs and memories   christmas cards you sent to me   all that i have are on 
 i was drowning to see the worst of my own 
 then i want to see you again 
 i just want to see you again 
 i am a feeling in my dreams 
 now i am a saint 
 and i once held to my eyes 
 and i remember the whistle 
 i was running in the korean 
 and i grope it all that i don't know 
 that i can love you 
 i just can't see you anymore 
 but i won't fail you 
 no no no no it 
 so",Baseline,0,7,0
folk,"i stole your style   hope you ""dont"" mind   i must try to be all","i stole your style   hope you dont mind   i must try to be all my homeward 
 and i got a shortset pacing that i had not known 
 she was a fool to care 
 and i was a fool to care 
 and i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 he was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care",Baseline,0,1,0
folk,within the fire and out upon the sea   crazy man michael was walking   he,"within the fire and out upon the sea   crazy man michael was walking   he was a farmer of the rovin' kind 
 he was the greatest monster 
 he was a fool to care 
 he was a fool to care 
 he was a fool to care 
 he was a fool to care 
 he was a fool to care 
 and she never warble to me 
 and i was a fool to care 
 my life was a long time 
 since i was a home 
 i was a fool to care 
 i was the road to love me 
 she was a rare man 
 i was",Baseline,0,0,1
folk,"the old folks ""dont"" talk much   they talk so slowly when they do   they","the old folks dont talk much   they talk so slowly when they do   they say 
 and you know that it's not easy 
 and i can't help you 
 but i don't know what to do 
 when the time is over 
 for the light of the night 
 i know it was so much to see 
 when i saw the screen and all the odds 
 there was a time i was close to the west 
 i never saw my life and i was a stranger 
 i was just a little bit who loves me 
 i was looking for a old miner's 
 and i had no",Baseline,0,0,1
folk,"put your finger in the air, in the air   put your finger in the air,","put your finger in the air in the air   put your finger in the air 
 i was in the revolution in the morning 
 i lost my head to 
 how i wish i could tell you 
 i love you 
 i feel so good 
 i have a little secret 
 i know you can see 
 all the words that i know 
 and i feel so much true 
 i want to be replenished 
 but i'm not alone 
 i don't know what i am 
 but it's been a long time gone 
 and i know that you were kind of time 
 and i think i feel",Baseline,0,7,0
folk,when charlie speaks of lester   you know someone great has gone   the sweetest swinging,"when charlie speaks of lester   you know someone great has gone   the sweetest swinging 
 and the big grand coulee dam and the peaches 
 and the son's was a terrible of the men 
 he's a walker on the hill 
 and a northern wind's a prophet 
 a man who was a time 
 and she was a fool to care 
 he was a fool to care 
 he was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 she was a fool to care 
 he was a fool to care 
 i",Baseline,0,0,1
folk,you thought that it could never happen   to all the people that you became  ,"you thought that it could never happen   to all the people that you became   
 and the stars is the sun 
 and the wind is all the trees 
 it's the life that i can heal 
 i say i know you 
 i hope you think you don't know what it means 
 you used to go to me 
 you know that wyoming 
 you may be the one who loves me 
 in the heart of the northern lights 
 i'm the one who loves me 
 
 i go out to stem 
 i have a woman 
 and i was the light 
 i was thinking to see",Baseline,0,7,0
folk,"i forget what to ask for, there ""isnt"" anything i ""havent"" been given   how could","i forget what to ask for there isnt anything i havent been given   how could she still 
 he said talk casey don't let it go 
 i don't know why 
 but i can't help it i'll know you're too much to go back home 
 i've been hittin' at all in the dark of the night 
 i got to learn to see the world 
 you're the plans a singer and the sun shines 
 and the sun is true 
 and the moon is blowing 
 and the red pines are mourning 
 and the children sing 
 and the trees 
 the queen of the moon 
 and the wind",Baseline,0,7,0
folk,dylan   you may search at any cost   but how long can you search for,"dylan   you may search at any cost   but how long can you search for the rest of a saint 
 a song of the whole world 
 when the morning comes 
 the night is fragrant 
 the angels were singing 
 and the clasp 
 the only one 
 and then they rested 
 and the rivers a shoal 
 and the gin of the night 
 and the wrath is germany's 
 the brave is filled 
 
 if i could see the sky 
 i never had to stay 
 with a little bit of the world 
 and a little respect 
 and the gin of the soul 
 and",Baseline,0,0,1
folk,"well, ""its"" so funny to be seein ya after so long girl   by the way","well its so funny to be seein ya after so long girl   by the way she moves my name 
 he was aknockin' and the sun flies 
 and i picked the painted house 
 he can hear the clocks 
 and the tennessee waltz 
 the blunted the morning 
 and the wind is blowing 
 the last of the night 
 i love the best mental cruelty 
 i hope i heard this love is meant 
 i think i don't know 
 i know the sun 
 i know that i don't know 
 it makes me love 
 but i know the way 
 i know the cost of my life",Baseline,0,0,1
folk,"i really ""cant"" stay   baby, ""its"" cold outside   ""ive"" got to go away  ","i really cant stay   baby its cold outside   ive got to go away   
 
 and i looked that poor man 
 i was thinking about my own 
 but i was ready to do 
 and i was the one i needed 
 i was there and i was giving 
 and i was a fool to care 
 i was born in portland 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to",Baseline,0,7,0
folk,"oh, the gentlemen are talking and the midnight moon is on the riverside   they’re drinking","oh the gentlemen are talking and the midnight moon is on the riverside   they’re drinking 
 and it was the hottest that he likes to come 
 and he was a kid in his eyes 
 his wife he was a tragic 
 he was a cat with his nose 
 he was an air 
 she was a fool to care 
 she was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a",Baseline,0,0,1
