Folk,PAV,SSV,MSV,generated_lyric,genre,Jazz,Metal,Pop,R&B,Rap,Rock,Soul,genre_class_act,genre_class_pred,correct_classifcation
"i know how it feels to be head over heels 
 to be lost in true mind 
 When I see you coming 
 Whoever be playing, you want to be with you 
 And all of the people will come home again 
 
 I will make you cry 
 But I will be with you 
 I will be there 
 And I will follow you 
 The sweet song 
 In heaven 
 
 In the struggle of the night 
 And it leads me back to the end of the end 
 I was a blindfolded bumblebee my feet 
 I was raised in the sun 
 I was born on the",0.3641648422536491,1.0,0.4711212677553834,"i know how it feels to be head over heels 
 to be lost in true mind 
 when i see you coming 
 whoever be playing you want to be with you 
 and all of the people will come home again 
 
 i will make you cry 
 but i will be with you 
 i will be there 
 and i will follow you 
 the sweet song 
 in heaven 
 
 in the struggle of the night 
 and it leads me back to the end of the end 
 i was a blindfolded bumblebee my feet 
 i was raised in the sun 
 i was born on the",Folk,,,,,,,,0,0,1
"holy war 
 genocide 
 suicide 
 hate and cruelty... 
 how can this be holy 
 Nothing can be 
 Be mine, 
 
 
 
 
 You can almost see you when you see 'em till the night comes down 
 And you can make a dust of them 
 And I'll never be ashamed 
 Knowing 
 I don't know if I can 
 I was there at the delta 
 I was born and I was a little wife 
 And I was a cowboy 
 I was a young man 
 I was a fool to care 
 I was a fool to care 
 I was a fool to care",0.0,1.0,0.4811442182269885,"holy war 
 genocide 
 suicide 
 hate and cruelty 
 how can this be holy 
 nothing can be 
 be mine 
 
 
 
 
 you can almost see you when you see 'em till the night comes down 
 and you can make a dust of them 
 and i'll never be ashamed 
 knowing 
 i don't know if i can 
 i was there at the delta 
 i was born and i was a little wife 
 and i was a cowboy 
 i was a young man 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care",Folk,,,,,,,,0,0,1
"late last night so far away 
 i dreamed myself a dream 
 well, i dreamed 
 We played each other 
 
 We died in the underworld 
 And talking in the Korean 
 And the railroads will go down 
 And the sky grows 
 In the bedroom of a wave 
 If I knew you were in love 
 I was a fool for you 
 I was in the kitchen 
 I was a fool to care 
 I was a cowboy of a fool 
 I was a fool to care 
 I was a fool to care 
 I was a fool to care 
 I was a fool to",0.4790475335808479,1.0,0.4778938587018672,"late last night so far away 
 i dreamed myself a dream 
 well i dreamed 
 we played each other 
 
 we died in the underworld 
 and talking in the korean 
 and the railroads will go down 
 and the sky grows 
 in the bedroom of a wave 
 if i knew you were in love 
 i was a fool for you 
 i was in the kitchen 
 i was a fool to care 
 i was a cowboy of a fool 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to",Folk,,,,,,,,0,7,0
"photographs and memories 
 christmas cards you sent to me 
 all that i have are pointin' 
 The air of the moon 
 Are those knowledge and blue 
 And the branches of the stars 
 And the world blows me 
 When the morning runs 
 And the wind blows the dust is the sky 
 And the wind is blowing the razor dance 
 And the town is shining as the mountains and the sea 
 And the moon rises on the borderline 
 Of the timeless and the falling 
 And the railroads will come and go 
 And the wind will be gone 
 And the morning breaks 
 And the",0.3481724113871799,0.9691809636396976,0.4104965631592681,"photographs and memories 
 christmas cards you sent to me 
 all that i have are pointin' 
 the air of the moon 
 are those knowledge and blue 
 and the branches of the stars 
 and the world blows me 
 when the morning runs 
 and the wind blows the dust is the sky 
 and the wind is blowing the razor dance 
 and the town is shining as the mountains and the sea 
 and the moon rises on the borderline 
 of the timeless and the falling 
 and the railroads will come and go 
 and the wind will be gone 
 and the morning breaks 
 and the",Folk,,,,,,,,0,7,0
"i stole your style 
 hope you ""don't"" mind 
 i must try to be all right 
 Just to say it is murder 
 And we can try 
 We were one 
 We are all a sign 
 And the will of the tide 
 I can see the light 
 I can see 
 I could ever understand 
 I can be through the day 
 I can almost feel it 
 I don't live here 
 I don't know what I do 
 I just want to dance with you 
 I can see you again 
 I just want to love you 
 I want to be with you again 
",0.3792536014442789,1.0,0.4752121016350591,"i stole your style 
 hope you don't mind 
 i must try to be all right 
 just to say it is murder 
 and we can try 
 we were one 
 we are all a sign 
 and the will of the tide 
 i can see the light 
 i can see 
 i could ever understand 
 i can be through the day 
 i can almost feel it 
 i don't live here 
 i don't know what i do 
 i just want to dance with you 
 i can see you again 
 i just want to love you 
 i want to be with you again 
",Folk,,,,,,,,0,7,0
"within the fire and out upon the sea 
 crazy man michael was walking 
 he was a beggar, of the card 
 And I was there, hell, 
 And I was the army 
 And I ordered my soul 
 And I took a little nut 
 And I wished myself 
 And I holler my tongue 
 I saw my axe 
 And I don't know if I could see 
 I feel so good to be 
 And I can't let go 
 I just can't wait to be there 
 I can't find out what I do 
 If I could find the way I could see 
 I love my shirt,",0.3645631267495247,0.9694703076182808,0.433981854422607,"within the fire and out upon the sea 
 crazy man michael was walking 
 he was a beggar of the card 
 and i was there hell 
 and i was the army 
 and i ordered my soul 
 and i took a little nut 
 and i wished myself 
 and i holler my tongue 
 i saw my axe 
 and i don't know if i could see 
 i feel so good to be 
 and i can't let go 
 i just can't wait to be there 
 i can't find out what i do 
 if i could find the way i could see 
 i love my shirt",Folk,,,,,,,,0,1,0
"the old folks ""don't"" talk much 
 they talk so slowly when they do 
 they got a living, 
 They took the steel 
 And the fortune and the tunnels 
 And the blankets began to go 
 And the sun sets heavy to the sky 
 And the wind blows the breast 
 And the fog was a-getting' 
 And the railroads leads the publishment, 
 And the gin got the beach 
 I was sent and dumb 
 And I stumbled at a little apple 
 And I left me standing in the dark 
 I don't know what I do 
 I know it's alright 
 I can see it if I",0.3727320258398772,0.961409469702882,0.462201289079801,"the old folks don't talk much 
 they talk so slowly when they do 
 they got a living 
 they took the steel 
 and the fortune and the tunnels 
 and the blankets began to go 
 and the sun sets heavy to the sky 
 and the wind blows the breast 
 and the fog was agetting' 
 and the railroads leads the publishment 
 and the gin got the beach 
 i was sent and dumb 
 and i stumbled at a little apple 
 and i left me standing in the dark 
 i don't know what i do 
 i know it's alright 
 i can see it if i",Folk,,,,,,,,0,0,1
"put your finger in the air, in the air 
 put your finger in the air, 
 And some kind of old 
 And the big Grand Coullee 
 And the hours and the spiders, childs 
 And the moon rises in the way... 
 And the railroads still shines 
 In the morning of a new day 
 I was born in East Virginia 
 And I was a Communist 
 I was a young girl 
 I was a fool 
 I was a fool 
 I was a fool to care 
 I was a fool to care 
 But a fool would care 
 But I was a fool to care 
",0.5290542911213859,1.0,0.4816481077942262,"put your finger in the air in the air 
 put your finger in the air 
 and some kind of old 
 and the big grand coullee 
 and the hours and the spiders childs 
 and the moon rises in the way 
 and the railroads still shines 
 in the morning of a new day 
 i was born in east virginia 
 and i was a communist 
 i was a young girl 
 i was a fool 
 i was a fool 
 i was a fool to care 
 i was a fool to care 
 but a fool would care 
 but i was a fool to care 
",Folk,,,,,,,,0,6,0
"when charlie speaks of lester 
 you know someone great has gone 
 the sweetest swinging no, 
 And I know it's true 
 I can see it 
 I know we can work it 
 I was just a little bit of a guy 
 And the broken of the sun and the stars 
 And the trucks and the stars will be 
 The wind is the taker and the flowers are the world 
 And the wind is the biggest thing that man has ever done 
 I was born in the Garden I was standing in the middle of town 
 Now I didn't come to the one I could have 
",0.347522038998797,1.0,0.483542388357067,"when charlie speaks of lester 
 you know someone great has gone 
 the sweetest swinging no 
 and i know it's true 
 i can see it 
 i know we can work it 
 i was just a little bit of a guy 
 and the broken of the sun and the stars 
 and the trucks and the stars will be 
 the wind is the taker and the flowers are the world 
 and the wind is the biggest thing that man has ever done 
 i was born in the garden i was standing in the middle of town 
 now i didn't come to the one i could have 
",Folk,,,,,,,,0,0,1
"you thought that it could never happen 
 to all the people that you became 
 You know it happens everyday 
 You can feel it if you please 
 I can almost feel it 
 I don't feel so good 
 I can't help it if I can't sleep 
 I can't wait to do what I've gotta say 
 I can't do how to do what you do 
 Honey, do you know 
 
 I'm tired of being here 
 I think I was thinking about you 
 I think I heard 
 Someone stirred 
 I believe 
 I love you 
 I believe 
 I love you 
 I love you",0.4243225352364512,1.0,0.4797716610431082,"you thought that it could never happen 
 to all the people that you became 
 you know it happens everyday 
 you can feel it if you please 
 i can almost feel it 
 i don't feel so good 
 i can't help it if i can't sleep 
 i can't wait to do what i've gotta say 
 i can't do how to do what you do 
 honey do you know 
 
 i'm tired of being here 
 i think i was thinking about you 
 i think i heard 
 someone stirred 
 i believe 
 i love you 
 i believe 
 i love you 
 i love you",Folk,,,,,,,,0,7,0
"i forget what to ask for, there ""isn't"" anything i ""haven't"" been given 
 how could he done the best and the shame 
 And the wind blows his soul he tells his face 
 When he did himself his cheeks 
 And he asks the chapel's pealing 
 He asked me to see 
 He was born to be a friend 
 And he was a friend 
 The one in my soul 
 And the other man 
 In the places 
 I was a young girl 
 I was walkin' in the kitchen 
 I was on the road 
 I was not seized for a friend 
 I was a fool to",0.37708007227169,0.9649759095889162,0.4426700486343875,"i forget what to ask for there isn't anything i haven't been given 
 how could he done the best and the shame 
 and the wind blows his soul he tells his face 
 when he did himself his cheeks 
 and he asks the chapel's pealing 
 he asked me to see 
 he was born to be a friend 
 and he was a friend 
 the one in my soul 
 and the other man 
 in the places 
 i was a young girl 
 i was walkin' in the kitchen 
 i was on the road 
 i was not seized for a friend 
 i was a fool to",Folk,,,,,,,,0,0,1
"dylan 
 you may search at any cost 
 but how long can you search for ? 
 Stoney people, what have they done to me ? 
 Who can you hear the music ? 
 You may know that you can be 
 You can crawl down to the Queen 
 Of the glory of winter 
 You can see it all away 
 But you can see it 
 And you can almost live 
 You can almost go easy 
 Take it easy 
 If you can see it 
 You can almost see it 
 If it will bring it on 
 
 Now the romance are so mournful 
 And the",0.4154893443647036,1.0,0.4850449095993692,"dylan 
 you may search at any cost 
 but how long can you search for ? 
 stoney people what have they done to me ? 
 who can you hear the music ? 
 you may know that you can be 
 you can crawl down to the queen 
 of the glory of winter 
 you can see it all away 
 but you can see it 
 and you can almost live 
 you can almost go easy 
 take it easy 
 if you can see it 
 you can almost see it 
 if it will bring it on 
 
 now the romance are so mournful 
 and the",Folk,,,,,,,,0,1,0
"well, ""it's"" so funny to be seein ya after so long girl 
 by the way I want, 
 Too many miles 
 The night I saw Paris 
 And I know she was so much older 
 I was a fool to care 
 I was a fool to care 
 I was a fool to care 
 (I was a fool to care) 
 (I was a fool to care) 
 (I was a fool to care) 
 (I was a fool to care) 
 (I was a fool to care) I was a fool to care 
 I was a fool to care 
 I was a fool to care 
 I was",0.7105782059184488,0.9872857723852668,0.5057823350775428,"well it's so funny to be seein ya after so long girl 
 by the way i want 
 too many miles 
 the night i saw paris 
 and i know she was so much older 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was a fool to care i was a fool to care 
 i was a fool to care 
 i was a fool to care 
 i was",Folk,,,,,,,,0,7,0
"i really ""can't"" stay 
 baby, ""it's"" cold outside 
 ""i've"" got to go away 
 Ten the things that I can do 
 And I'll keep my soul and my brothers and my sisters 
 And I'll always be on the road again 
 I'll be in the middle of the night 
 I want to leave my body 
 I want to see you again 
 I want to see you again Blackbird 
 I want to see you again Blackbird 
 Hold me to be a bum, 
 I wish I could see you in my time 
 I know you can see 
 But I can't stop believing 
 I don't know",0.3872911175805648,0.9722814219333236,0.4389188659819539,"i really can't stay 
 baby it's cold outside 
 i've got to go away 
 ten the things that i can do 
 and i'll keep my soul and my brothers and my sisters 
 and i'll always be on the road again 
 i'll be in the middle of the night 
 i want to leave my body 
 i want to see you again 
 i want to see you again blackbird 
 i want to see you again blackbird 
 hold me to be a bum 
 i wish i could see you in my time 
 i know you can see 
 but i can't stop believing 
 i don't know",Folk,,,,,,,,0,2,0
