,Unnamed: 0,genre,original_lyric,generated_lyric,model,PAV,SSV,MSV,cleaned_generated_lyrics
0,0,Jazz,"With all my heart, I love you, baby
Stay with me, and you will see
My arms will hold you, baby
Never leave, cause I believe

I'm in love, sweet love
Hear me calling out your name - I feel no shame
I'm in love, sweet love
Don't you ever go away, it'll always be this way

Your heart has called me closer to you
I will be all that you need
Just trust in what we're feeling
Never leave 'cause, baby, I believe

In this love, sweet love
Hear me calling out your name - I feel no shame
I'm in love, sweet love;
Don't you ever go away, it'll always be this way

There's no stronger love in this world
Oh, baby, no - you're my man, I'm your girl
I'll never go - Wait and see, can't be wrong
Don't you know this is where you belong?

Oh, the sweetest dream, a lovely baby
Stay right here, never fear
I will be all that you need
Never leave 'cause, baby, I believe

In this love, sweet love
Hear me calling out your name - I feel no shame
I'm in love, sweet love
Don't you ever go away, it'll always be this way

(Sweet love...)
Oh, no, no, no, no, no, no, no...
(Sweet love...) Oh...
(With all my heart, I love you...) So sweet, so sweet
(Ooh...) So sweet, oh, oh, love...
(Sweet love...) Love, love...
Oh, baby, no sweeter love...
(Sweet love...) Oh, sweeter love...
Oh, no, no, no, no, no, no, no, no
(Sweet love...) Don't nobody know
Don't nobody know how sweet it is
(Sweet love...) Ah, how sweet it is
Love me sweetly, baby
Just leave me sweetly, baby
(Sweet love...)
Don't nobody know...
(Sweet love...)","with all my heart, i love you, baby stay with me, and you will see my smile grow, your sweetheart"".<|endoftext|><|endoftext|>",gpt2,0.0,0.0,0.0,"with all my heart, i love you, baby stay with me, and you will see my smile grow, your sweetheart."
1,1,Jazz,"Good things will come your way
You'll find a brighter day
All that I can be
All I want to do
Is be the one inside the world
When he finds the key to you
All the promises
Never quite came true
Found the way to live again
When I found the key to you...
When I found the key to you","good things will come your way youll find a brighter day all that i can be?""<|endoftext|><|endoftext|>",gpt2,0.0,0.0,0.0,good things will come your way youll find a brighter day all that i can be?
2,2,Jazz,"Your love, like wine. Tasting sweeter to me every day
Your kiss, devine. And it melts the cold inside away
All of my life, I've been waiting for a love like this
And now, that you're here romance is just a second away
It's gonna stay
'Til the snow falls on the Sahara, 'Til the sun freezes over, 'Til the
Mojave red turns into blue
'Til my lungs get tired of breathing, and my heart stops it's beating
Then I'll stop loving you
And in the dark, when there's no one calling out your name
Well I'll hold you so tight, and I'll whisper to you once again, and again
'Til the snow falls on the Sahara, 'Til the sun freezes over
'Til the Mojave red turns into blue
When the music's no longer playing and the faithless start praying
I'll stop loving you
When the snow falls on the Sahara (uh huh), 'Til the sun freezes over
'Til the Mojave red turns into blue (That's a long Time) When my lungs
Get tired of breathing (oh) and my heart stops it's beating
I'll stop loving you
I don't want to waste a single heartbeat
And sometimes my words get in the way
But I hear your love just fine. Just Fine
And it's gonna take a long time
'Til the snow falls on the Sahara, 'Til the sun freezes over
'Til the Mojave red turns into blue (That's a long time)
When the music's no longer playing, and the faithless start praying
I'll stop loving you, oh. uh huh uh huh (When the snow falls on the
Sahara, and the sun freezes over, when the Mojave red turns into blue)
I'll be loving you, baby. (When my lungs get tired of breathing and my
Heart stops it's beating) I'll stop loving you","your love, like wine. tasting sweeter to me every day your kiss, devine. and it melts my heart, its burning, my soul. mind. And its making me rise with emotion, and be more lover than ever, and I become our match and friend. Why can't we? You think you can? Just to get me your kisses. But if you don't I'm gonna have to kiss you off, I'm gonna hold you and wait for you to let you go. Just, see? my heart does something crazy with kisses, its trying to take me back to you,<|endoftext|>",gpt2,0.0,0.0,0.0,"your love, like wine. tasting sweeter to me every day your kiss, devine. and it melts my heart, its burning, my soul. mind. and its making me rise with emotion, and be more lover than ever, and i become our match and friend. why cant we? you think you can? just to get me your kisses. but if you dont im gonna have to kiss you off, im gonna hold you and wait for you to let you go. just, see? my heart does something crazy with kisses, its trying to take me back to you,"
3,3,Jazz,"Everyday we go through
I do something that will please you baby
And I know having you around
Well, just keeps me grounded
If I get jealous, if I act like a fool
It's an overreaction to loving you
I want it all or nothing at all
That's what I need from you
And baby it's true
I'll be there whenever you call
But I need all or nothing at all
All other men try for you
They won't give you what I do now, baby
I won't share, want you to myself
So I'll keep trying
Gonna make my lovin' the best it can be
'Cause I need your devotion desperately
All or nothing at all
That's what I need from you
And baby it's true
I'll be there whenever you call
But I need all or nothing at all
Just tell me now that there's no other man
'Cause I don't want my heart broken up again
And when you say that you'll never let go
Only then will I know, woah
I'll be there whenever you call
But I need all or nothing at all
Lay your love on the line
Right now, I need you to
Lay your love on the line,baby
I'll be there whenever you call
But I need all or nothing at all
All or nothing at all
That's what I need from you
And baby it's true
I'll be there whenever you call
But I need all or nothing at all
All or nothing at all
That's what I need from you
And baby it's true
I'll be there whenever you call
But I need all or nothing at all","everyday we go through i do something that will please you baby and i know having fun and playing all the time without making a mess to your life will make you so happy too""...
i see you never really change in your day. You don't ever think you want to go out every night with a lover. It makes you feel guilty so your life has to be better than this. Every day we go through i do something that will please you baby and i know having fun and playing all the time without making a mess to your life will make you so happy too.""<|endoftext|>",gpt2,0.6975758562282559,0.9807817458337975,0.9807817458337975,"everyday we go through i do something that will please you baby and i know having fun and playing all the time without making a mess to your life will make you so happy too...
i see you never really change in your day. you dont ever think you want to go out every night with a lover. it makes you feel guilty so your life has to be better than this. every day we go through i do something that will please you baby and i know having fun and playing all the time without making a mess to your life will make you so happy too."
4,4,Jazz,"*Miles Davis hums to the tune
*Olu Dara plays the trumpet
*Nas comes in @ 1:20

(Evolution Of the Groove)
Yeah, yeah, (Evolution), yeah, yeah
Turn me up louder and louder
Evolution of the Groove; like ape to man, man to alien
Like drinking wells to Evian
From Shakespeare to Makavelian
Not much change same game just different names
Evolution like how we shot dice
Got nice with a small SONY box on the blocks every night
Evolution like Herbie Hancock on piano
Ron Carter on que sticks
All live music's not a sample
Tony Williams on drum sticks
Olu Dara plays the trumpet; Miles Davis conducts this
The Evolution of the Groove
A room full of gods and goddess, a table, some chairs
A glass of the best bottle that aged for years
The fashion express; immaculate wears
The stages lit up, he comes on backwards, we stare
(What's your name?) With his back to us
Jazz music, fingers snap to it
Fast forward; 2007; Nas'll rap to it
So proud to be alive to tell you young chaps who is
The artist 'cause I rap think I'm that clueless?
See my hat tilted, foul move, loud, rude
Think I ain't that dude who value the art that Miles do
Like I don't get down to the Miles tunes
What ya think I lounge to? Bjork, Marvin
Prince, I crave Lennon and they all got a 'lil Miles Davis in 'em","*miles davis hums to the tune *olu dara plays the trumpet *nas comes in @ 120mph thats how long you get a wound... Free View in iTunes

109 Clean Must Not Be Wasted Is there any reason to mourn too much of this afternoon? *sucking at the cigarettes Oh, wait, wait, just take some time Awwwww… Free View in iTunes

110 Clean Aw, I Like to Get Hurt Can you remember my two favorite movies? *oh yeah, mmm, no davis hums to the tune *suck at the cigarettes Oh,<|endoftext|>",gpt2,0.4,1.0,0.6196950598584278,"*miles davis hums to the tune *olu dara plays the trumpet *nas comes in @ 120mph thats how long you get a wound... free view in itunes

109 clean must not be wasted is there any reason to mourn too much of this afternoon? *sucking at the cigarettes oh, wait, wait, just take some time awwwww… free view in itunes

110 clean aw, i like to get hurt can you remember my two favorite movies? *oh yeah, mmm, no davis hums to the tune *suck at the cigarettes oh,"
5,5,Jazz,"My heart is sad and lonely
For you I yearn, for you dear only
I tell you I mean it
I'm all for you, Body and soul
My nights are filled with longing
And wond'ring why it's me you're wronging
Why haven't you seen it?
I'm all for you body and soul
I can't believe it
It's hard to conceive it
That you'd turn away romance
Are you pretending?
This looks like the ending
Unless I can have one more chance to prove
Dear. My life a wreck you're making
You know I'm yours for just the taking
I'd gladly surrender myself to you, Body And Soul","my heart is sad and lonely for you i yearn, for you dear only i tell thee i loved you when i was dreaming of you i told you i was losing heart and you knew when i kissed my lips and i was crying because you didnt do anything to comfort me, not a thing i could do to comfort you, to stop a feeling like it hurt, to give you back my promise to you, that i would never leave you, i just know that you wouldnt, i will never leave you and i will never let you down, i swear, for you that is<|endoftext|>",gpt2,0.0,0.0,0.0,"my heart is sad and lonely for you i yearn, for you dear only i tell thee i loved you when i was dreaming of you i told you i was losing heart and you knew when i kissed my lips and i was crying because you didnt do anything to comfort me, not a thing i could do to comfort you, to stop a feeling like it hurt, to give you back my promise to you, that i would never leave you, i just know that you wouldnt, i will never leave you and i will never let you down, i swear, for you that is"
6,6,Jazz,"I'll only miss him when I think of him
And I'll think of him all the time
Likely I'll spend my days
Hearing his turn of phrase
Things I found hard to praise
Right now would seem sublime
The truth is I'll only miss him
When some stranger laughs
'Cause it's still his laugh
My heart hears maybe in time, I guess
The longing will grow the slightest bit less
And there will be moments, yes
When it disappears, I'll bet I'll forget him completely
In about a hundred years
I'll bet I'll forget him completely
In about a hundred years",ill only miss him when i think of him and ill think of him all the time or when i go to sleep Ill never be that guy anymore and if i do try to end him Ill never be there anyway Ill tell you all about it Ill just remember me forever and that was all the truth so that i can go on and tell the world that im wrong Ill always be trying to help you Ill never forget to call my brother when youre down<|endoftext|><|endoftext|>,gpt2,0.0,0.0,0.0,ill only miss him when i think of him and ill think of him all the time or when i go to sleep ill never be that guy anymore and if i do try to end him ill never be there anyway ill tell you all about it ill just remember me forever and that was all the truth so that i can go on and tell the world that im wrong ill always be trying to help you ill never forget to call my brother when youre down
7,7,Jazz,"I who never had much I now have a treasure
A love too great to measure
I am blessed with happiness
And I'm done with loneliness
I who walked all alone
Not really knowing
Till now just where I was going
I am blessed because this day
You came show me the way
Till now I was like a grain of sand
Lost on a lonely beach
Yes till now I could never understand
That this was within my reach
I who cried to the moon see only sunshine
Because darling you're mine
I am blessed with wealth untold
A love worth more than gold","i who never had much i now have a treasure a love too great to measure him away in his past, a sweetheart, and a mighty man who must never be forgotten, but a wise and wise man, who knows that all things are worth little or nothing, and who is ready to face any kind of disaster.<|endoftext|><|endoftext|>",gpt2,0.0,0.0,0.0,"i who never had much i now have a treasure a love too great to measure him away in his past, a sweetheart, and a mighty man who must never be forgotten, but a wise and wise man, who knows that all things are worth little or nothing, and who is ready to face any kind of disaster."
8,8,Jazz,"You must take the ""A"" train
To go to Sugar Hill way up in Harlem
If you miss the ""A"" train
You'll find you missed the quickest way to Harlem
Hurry, get on, now it's coming
Listen to those rails a-thrumming
All aboard, get on the ""A"" train
Soon you will be on Sugar Hill in Harlem","you must take the ""a"" train to go to sugar hill way up in harlem if you want to go south to Ullrichland"". They must see me if they want to go south too, but as soon as I tell them to go south the new town disappears and I go to a free trade, so that the old one is gone, or is not anymore. I'm convinced that it is better for me to go south, and for it to be better for my country to get along the way.<|endoftext|><|endoftext|>",gpt2,0.0,0.0,0.0,"you must take the a train to go to sugar hill way up in harlem if you want to go south to ullrichland. they must see me if they want to go south too, but as soon as i tell them to go south the new town disappears and i go to a free trade, so that the old one is gone, or is not anymore. im convinced that it is better for me to go south, and for it to be better for my country to get along the way."
9,9,Jazz,"When you see a field where grass is blue
And everything looks good to you
You're in Kentucky, sure as you're born
When a million sunbeams, light your way
Says ?'Cmon stranger won't you stay?
You're in Kentucky, sure as you're born
When the shadows creep
You can go to sleep
On a carpet of moonbeams
You can dream your dreams
Need the blanket of gleaming stars
If you wake at dawn amid glistening dew
Find old Dxie kissin' you
You're in Kentucky, sure as you're born
When the shadows creep
You can go to sleep
On a carpet of moonbeams
You can dream your dreams
Need the blanket of gleaming stars
If you wake at dawn amid glistening dew
Find old Dixie kissin' you
You're not in Texas, you're not in Memphis
You're in Kentucky, sure as you're born","when you see a field where grass is blue and everything looks good to you youre left,""said the city councilman, who claimed that most of the veterans he dealt with found him through chance. ""I told them I had had to stop and talk to some veterans who said they could have helped me by coming up with some solutions to this problem."" And the voices of those who were there were even more insistent on bringing their complaints to the city. ""They came up with a plan for me, which was to turn the corner and fix this, and no one came up<|endoftext|>",gpt2,0.0,0.0,0.0,"when you see a field where grass is blue and everything looks good to you youre left,said the city councilman, who claimed that most of the veterans he dealt with found him through chance. i told them i had had to stop and talk to some veterans who said they could have helped me by coming up with some solutions to this problem. and the voices of those who were there were even more insistent on bringing their complaints to the city. they came up with a plan for me, which was to turn the corner and fix this, and no one came up"
