,Unnamed: 0,genre,original_lyric,generated_lyric,model,PAV,SSV,MSV,cleaned_generated_lyrics
0,0,Metal,"Down fell the stars as they splashed into the sea
""Mi nomine Baphomet"", come dance with me
Sacrifice the virgins, spiritual rites
Their master's time has come, the moon is full tonight


Drinking, dancing, they worship and toast
The Devil, who's watching with demon's remote
Fire rising, racing in your blood
Possessed, naïve, his service is done


It's the Sabbath, bloody Sabbath
Bad omen of the goat
Bloody blasphemy


Sinister's the word as the demon's take their fill
An orgy's taking place, human blood will spill
An act of worship as they conceive the ghouls
Satan has their souls, they sing pagan tunes
The ceremony is sure to be cursed
They wait for his blessings but down comes the worst
Their bodies, soulless, a corpse from the grave
Their minds are helpless and no one can save

No one can save
No one can save
No one can save
No one can save, one can know
No one can save, one can know","down fell the stars as they splashed into the sea ""mi nomine baphomet"", come dance with us in no time (3.14.18).

1st Minute Message by Antonio Guterres

3.15.18 One can be done both ways, by daring, or by being free! All things belong to the power of God! No man, no angel, cannot escape the free will of God! No man, no man can perish, except the Spirit!

1st Minute Message by Antonio Guterres

3.16 No man can be deprived<|endoftext|>",gpt2,0.4,1.0,0.5601396819110803,"down fell the stars as they splashed into the sea mi nomine baphomet, come dance with us in no time 3.14.18.

1st minute message by antonio guterres

3.15.18 one can be done both ways, by daring, or by being free! all things belong to the power of god! no man, no angel, cannot escape the free will of god! no man, no man can perish, except the spirit!

1st minute message by antonio guterres

3.16 no man can be deprived"
1,1,Metal,"Yesterday is gone forever
No turning back the clock
In the end, all is sinful
No need to bear the pain
The end is coming soon
You can't hold on forever
Repent your sins to me
Before you pass this world
In this time I am law
I know you've been betrayed
From man's words I'm given life
Through loss I only gain
For you I feel no sympathy
No sorrow, no remorse
Confess your sins to me
They'll be taken by force
It doesn't matter what you've done
In my words you are a sinner
For every word you say to me
In every way you are a sinner
It doesn't matter what you've done
In my words you are a sinner
For every word you say to me
In every way you are a sinner
Question me not
I am the one that binds this world
You follow without sight
I grow stronger every day
Take the souls I have damned
And burn them in my name
These are the burning times
The years of pain
It doesn't matter what you've done
In my words you are a sinner
For every word you say to me
In every way you are a sinner
It doesn't matter what you've done
In my words you are a sinner
For every word you say to me
In every way you are a sinner","yesterday is gone forever no turning back the clock in the end, all is sinful no caring who runs it, no believing its principles, no questioning its laws, no standing for anything but absolute right and not expecting what's best for all, no believe its methods, no preaching its teachings, no preaching its ideas, no believing its truth or its methods, no believing its truths or its methods, no going to heaven or hell or hell-is-there, no god who puts me in chains or keeps me out, no asking me what to do, no asking me if I'm<|endoftext|>",gpt2,0.0,0.0,0.0,"yesterday is gone forever no turning back the clock in the end, all is sinful no caring who runs it, no believing its principles, no questioning its laws, no standing for anything but absolute right and not expecting whats best for all, no believe its methods, no preaching its teachings, no preaching its ideas, no believing its truth or its methods, no believing its truths or its methods, no going to heaven or hell or hellisthere, no god who puts me in chains or keeps me out, no asking me what to do, no asking me if im"
2,2,Metal,"Crisis feeds the lunacy
All fear the new machine
Consumed democracy returns a socialist regime
It's laid to rest without contest
All hail the new incompetence
Making you see what to believe
A drone in the world of anarchy
Treachery, mysery, violence, insanity
Scavengers closing in
Covering the truth again
Castrate society
Fictional reality
Insecurity afraid of things you cannot see
Words become the image of the enemy
You cannot dissect what is correct
Vengeance based on how things are said
Can't see your side - conflicts with mine
Frustrations lead to complete demise
Treachery, mysery, violence, insanity
Scavengers closing in
Covering the truth again
Every trial conspiracy
Compassion is the enemy
Paralyse, criticize
Breaking through the wall of lies
Suicidal hierarchy racing in reverse
Everything that's done today will be tomorrow's curse
Screams in my head preceed your death
Can't hold the rage when the truth is shed
Blind lead the blind line after line
In a world too shallow to defy
Treachery, mysery, violence, insanity
Scavengers closing in
Covering the truth again
Castrate society","crisis feeds the lunacy all fear the new machine consumed democracy returns a socialist regime its own.

Just as Jesus blamed the demons for the wicked, many should take note of the capitalists' wrongdoings and the faith they take in us. They exploit the brainwashing and the illusion of evil, but they do so, with the whole purpose of demonizing people.<|endoftext|><|endoftext|>",gpt2,0.4,1.0,0.7952026777604537,"crisis feeds the lunacy all fear the new machine consumed democracy returns a socialist regime its own.

just as jesus blamed the demons for the wicked, many should take note of the capitalists wrongdoings and the faith they take in us. they exploit the brainwashing and the illusion of evil, but they do so, with the whole purpose of demonizing people."
3,3,Metal,"Lay beside me, tell me what they've done
Speak the words I wanna hear to make my demons run
The door is locked now, but it's open if you're true
If you can understand the me, then I can understand the you
Lay beside me, under wicked sky
Through black of day, dark of night, we share this paralyze
The door cracks open, but there's no sun shining through
Black heart scarring darker still, but there's no sun shining through
No, there's no sun shining through
No, there's no sun shining...
What I've felt, what I've known
Turn the pages, turn to stone
Behind the door, should I open it for you?
Yeah, what I've felt, what I've known
Sick and tired, I stand alone
Could you be there, 'cause I'm the one who waits for you
Or are you unforgiven too?
Come lay beside me, this won't hurt, I swear
She loves me not, she loves me still, but she'll never love again
She lay beside me, but she'll be there when I'm gone
Black heart scarring darker still, yes she'll be there when I'm gone
Yes, she'll be there when I'm gone
Dead sure she'll be there
What I've felt, what I've known
Turn the pages, turn the stone
Behind the door, should I open it for you?
Yeah, what I've felt, what I've known
Sick and tired, I stand alone
Could you be there, 'cause I'm the one who waits for you
Or are you unforgiven too?
Lay beside me, tell me what I've done
The door is closed, so are your eyes
But now I see the sun, now I see the sun
Yes, now I see it
What I've felt, what I've known
Turn the pages, turn the stone
Behind the door, should I open it for you?
Yeah, what I've felt, what I've known
So sick and tired, I stand alone
Could you be there, 'cause I'm the one who waits
The one who waits for you
Oh, what I've felt, what I've known
Turn the pages, turn the stone
Behind the door, should I open it for you
(So I dub thee unforgiven....)
Oh, what I've felt...
Oh, what I've known...
I take this key (never free...)
And I bury it (never me...) in you
Because you're unforgiven too
Never free
Never me
'Cause you're unforgiven too
Oh","lay beside me, tell me what theyve done speak the words i wanna hear to make me feel better.""

""How does your daughter do?"" I asked.

""She smiles, the mouth is closed,"" he said. ""I miss her so much.""

He picked up the sword and looked at me. ""Now how much longer will she be here?"" he asked. ""We'll have to get ready.""

I sat down next to him.

""Don't you worry, he can't wait,"" I said. ""The girls will all<|endoftext|>",gpt2,0.4,1.0,0.5668557934082971,"lay beside me, tell me what theyve done speak the words i wanna hear to make me feel better.

how does your daughter do? i asked.

she smiles, the mouth is closed, he said. i miss her so much.

he picked up the sword and looked at me. now how much longer will she be here? he asked. well have to get ready.

i sat down next to him.

dont you worry, he cant wait, i said. the girls will all"
4,4,Metal,"The sky was clear that night
We were alone
And so much in love
A tree stood at the bottom
Of that lonely field
And it was lovely
The moon like a big red bun
Stood in the sky
And I wondered why

We sat upon the grass
It was so cold
But the heat of my mind
Was enough to keep us warm
And you caressed my body
Oh that was lovely
I'll never forget that night
Oh my darling
My darling","the sky was clear that night we were alone and so much in love a tree could have lit them and so much of the world was falling apart, they would never have wanted to see it,"" said Steven Earle, the director of the Love, Justice, and The Arts Program at Lincoln Center. ""This has really given us the opportunity to see what a little act of love and love can do.""

Martha Boudreau and Patty Halpern, both 38, were driving home from the launch of DreamWorks Animation's ""The Jungle Book,"" the world's<|endoftext|>",gpt2,0.4,1.0,0.7900912541275188,"the sky was clear that night we were alone and so much in love a tree could have lit them and so much of the world was falling apart, they would never have wanted to see it, said steven earle, the director of the love, justice, and the arts program at lincoln center. this has really given us the opportunity to see what a little act of love and love can do.

martha boudreau and patty halpern, both 38, were driving home from the launch of dreamworks animations the jungle book, the worlds"
5,5,Metal,"In my name
So they cast out demons
They shall speak in new tongues
They shall take up serpents
If they drink any deadly poison
It shall in no wise hurt them
They shall lay hands on the sick and they shall recover
The serpent is only brought into the holy sink
And only handled
Of the holy ghost
Of the holy spirit
Speak directly to
The Cibole",in my name so they cast out demons they shall speak in new tongues they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall<|endoftext|>,gpt2,0.0,0.0,0.0,in my name so they cast out demons they shall speak in new tongues they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall cast out devils they shall
6,6,Metal,"Compassion is broken now
My will is eroded now
Desire is broken now
It makes me feel ugly

On my knees and burning
My piss and moans are fuelling
I set my head on fire
Smell my soul is burning

I'm broken, looking up to see the enemy
And I have swallowed the poison you feed me
But I survive on the poison you feed me, leaving me
Guilt-fed, hatred-fed, weakness-fed
It makes me feel ugly

On my knees and burnin'
My piss and moans are fuelling
I set my head on fire
Dead inside

Shit adds up, shit adds up, shit adds up
Shit adds up at the bottom

If I let you, you would make me destroy myself
In order to survive you, I must first survive myself
And I can sink no further and I cannot forgive you
There's no choice but to confront you
To engage you
To erase you
I've gone to great lengths to expand my threshold of pain
I will use my mistakes against you
There's no other choice
Shameless now
Nameless now
Nothing now
No one now
But my soul must be iron
'Cause my fear is naked
I'm naked and fearless
And my fear is naked

Dead inside, dead inside
Dead inside, dead inside
Nameless now, shameless now
Nothing now, no one now
Shit adds up, shit adds up
Shit adds up, shit adds, as you see me
Naked now, fearless now
Naked now, fearless now
Shit adds, shit adds
Shit adds, shit adds up, it leaves me
Dead inside, dead inside
Dead inside, dead inside

Hatred keeps me alive
Ugliness keeps me alive
Weakness keeps me alive
Guilt keeps me alive at the bottom",compassion is broken now my will is eroded now desire is broken now it makes me feel angry now I feel all the hate that I feel is in my heart like my life was changed in the heat of the moment I feel like I'm falling apart on my own. I have made peace with my pain and in peace with my guilt now the burden is lifted off my shoulders and I can feel that the burden is lighter than ever before. We've had a lot of years and have finally put our heads together and we can really see what is left. I feel ready for this next<|endoftext|>,gpt2,0.0,0.0,0.0,compassion is broken now my will is eroded now desire is broken now it makes me feel angry now i feel all the hate that i feel is in my heart like my life was changed in the heat of the moment i feel like im falling apart on my own. i have made peace with my pain and in peace with my guilt now the burden is lifted off my shoulders and i can feel that the burden is lighter than ever before. weve had a lot of years and have finally put our heads together and we can really see what is left. i feel ready for this next
7,7,Metal,"Voices are calling from somewhere below
Melting on the eastern shore
Rain is falling down on me
Been waiting for eternity...
I'll be there!
Freedom for us all!
And I wonder why, why my heart still yearns
And I wonder why, why the earth still turns
And I wonder why, why the sky turns black
Still I wonder why, but there is no turning back
For all eternity, for all the world to see
We're riding high across the wind
And when the storm begins, to wash away all sins
We'll find a place where we'll begin
There's something wrong with the world today
Only the people that are fighting for...
...a better place in the world today
They don't believe that they gone too far
...they're falling down
By moonlight there's a way... for rebellion
Here, the world has gone astray... revolution
Now, the time has come to pray... hallelujah
Deep, inside our minds we wait... for rebellion
Here in dreamland we will not obey the masters
... and the earth still turns but I'm on my way
He is on the way, as my heart still yearns
... I'm on my way, now he is on the way
And I cry for more
Yes I'm on my way, now he is on the way
Gonna find the secret wall
I have seen the secret dreams
Of those who know eternity
And makes me feel like a shadow sneaking in
In my sleep I'm searching for a way to find
The open door leading me to where it all begins
There's nothing wrong with the world today...
By moonlight there's a way... for rebellion
Here, the world has gone astray... revolution
Now, the time has come to pray... hallelujah
Deep, inside our minds we wait... for rebellion
Here in dreamland we will not obey the masters
SOLO: Kai
Now I'm riding through the air
Going to where no one dares
On the way I'll cross the line forevermore
For once in life, I do not care
Nothing matters, now I dare
On the ride I'll cross the line
Forever to be free
Have no fear, Rebellion is here!",voices are calling from somewhere below melting on the eastern shore rain is falling down on us<|endoftext|><|endoftext|>,gpt2,0.0,0.0,0.0,voices are calling from somewhere below melting on the eastern shore rain is falling down on us
8,8,Metal,"Pounding the world like a battering ram
Forging the furnace for the final grand slam
Chopping away at the source soon the course will be done
Leaving a trail of destruction that's second to none

Hammering anvils straining muscle and might
Shattering blows crashing browbeating fright
Fast devastating and desolisating the curse
Blasting the cannons of truth through each man of this earth

Wielding the axe comes the one culmination
That's always seemed certain to bring down the curtain on greed
Sifting the good from the bad it's the age for the rage
Of the dogs which must fall to the just and be free
Now, grate for the vandals who trampled and sampled
Till this place conditioned brought forth demolition to war
The slipping and sliding, corrosive subsiding
That withered and waned till the world seemed all drained fills the bay

Pounding the world like a battering ram
Forging the furnace for the final grand slam
Chopping away at the source soon the course will be done
Leaving a trail of destruction that's second to none","pounding the world like a battering ram forging the furnace for the final grand slam chopping up my mind I stared into space. I found myself without my powers, no one knew I existed, and all I knew was that it was happening and I was no longer in control of it. The sun rose up again, this time with a roar, I climbed into the cockpit of a car and sped down the track. I was blinded by a green spark that only a self-described 'hero' could make and its shattering wave illuminated my vision. I was a mystery man I was unable<|endoftext|>",gpt2,0.0,0.0,0.0,"pounding the world like a battering ram forging the furnace for the final grand slam chopping up my mind i stared into space. i found myself without my powers, no one knew i existed, and all i knew was that it was happening and i was no longer in control of it. the sun rose up again, this time with a roar, i climbed into the cockpit of a car and sped down the track. i was blinded by a green spark that only a selfdescribed hero could make and its shattering wave illuminated my vision. i was a mystery man i was unable"
9,9,Metal,"It is sad to think that the first few people on earth needed no books, movies, games or music to inspire cold-blooded murder. The day that Cain bashed his brother Abel's brains in, the only motivation he needed was his own human disposition to violence. Whether you interpret the Bible as literature or as the final word of whatever God may be, Christianity has given us an image of death and sexuality that we have based our culture around. A half-naked dead man hangs in most homes and around our necks, and we have just taken that for granted all our lives. Is it a symbol of hope or hopelessness? The world's most famous murder-suicide was also the birth of the death icon – the blueprint for celebrity. Unfortunately, for all of their inspiring morality, nowhere in the Gospels is intelligence praised as a virtue
A lot of people forget or never realize that I started my band as a criticism of these very issues of despair and hypocrisy. The name Marilyn Manson has never celebrated the sad fact that America puts killers on the cover of Time magazine, giving them as much notoriety as our favorite movie stars. From Jesse James to Charles Manson, the media, since their inception, have turned criminals into folk heroes. They just created two new ones when they plastered those dip-shits Dylan Klebold and Eric Harris' pictures on the front of every newspaper. Don't be surprised if every kid who gets pushed around has two new idols
We applaud the creation of a bomb whose sole purpose is to destroy all of mankind, and we grow up watching our president's brains splattered all over Texas. Times have not become more violent. They have just become more televised. Does anyone think the Civil War was the least bit civil? If television had existed, you could be sure they would have been there to cover it, or maybe even participate in it, like their violent car chase of Princess Di. Disgusting vultures looking for corpses, exploiting, fucking, filming and serving it up for our hungry appetites in a gluttonous display of endless human stupidity
When it comes down to who's to blame for the high school murders in Littleton, Colorado, throw a rock and you'll hit someone who's guilty. We're the people who sit back and tolerate children owning guns, and we're the ones who tune in and watch the up-to-the-minute details of what they do with them. I think it's terrible when anyone dies, especially if it is someone you know and love. But what is more offensive is that when these tragedies happen, most people don't really care any more than they Would about the season finale of Friends or The Real World. I was dumbfounded as I watched the media snake right in, not missing a teardrop, interviewing the parents of dead children, televising the funerals. Then came the witch hunt
Man's greatest fear is chaos. It was unthinkable that these kids did not have a simple black-and-white reason for their actions. And so a scapegoat was needed. I remember hearing the initial reports from Littleton, that Harris and Klebold were wearing makeup and were dressed like Marilyn Manson, whom they obviously must worship, since they were dressed in black. Of course, speculation snowballed into making me the poster boy for everything that is bad in the world. These two idiots weren't wearing makeup, and they weren't dressed like me or like goths. Since Middle America has not heard of the music they did listen to (KMFDM and Rammstein, among others), the media picked something they thought was similar
Responsible journalists have reported with less publicity that Harris and Klebold were not Marilyn Manson fans – that they even disliked my music. Even if they were fans, that gives them no excuse, nor does it mean that music is to blame. Did we look for James Huberty's inspiration when he gunned down people at McDonald's? What did Timothy McVeigh like to watch? What about David Koresh, Jim Jones? Do you think entertainment inspired Kip Kinkel, or should we blame the fact that his father bought him the guns he used in the Springfield, Oregon, murders? What inspires Bill Clinton to blow people up in Kosovo? Was it something that Monica Lewinsky said to him? Isn't killing just killing, regardless if it's in Vietnam or Jonesboro, Arkansas? Why do we justify one, just because it seems to be for the right reasons? Should there ever be a right reason? If a kid is old enough to drive a car or buy a gun, isn't he old enough to be held personally responsible for what he does with his car or gun? Or if he's a teenager, should someone else be blamed because he isn't as enlightened as an eighteen-year-old?
America loves to find an icon to hang its guilt on. But, admittedly, I have assumed the role of Antichrist; I am the Nineties voice of individuality, and people tend to associate anyone who looks and behaves differently with illegal or immoral activity. Deep down, most adults hate people who go against the grain. It's comical that people are naive enough to have forgotten Elvis, Jim Morrison and Ozzy so quickly. All of them were subjected to the same age-old arguments, scrutiny and prejudice. I wrote a song called ""Lunchbox,"" and some journalists have interpreted it as a song about guns. Ironically, the song is about being picked on and fighting back with my Kiss lunch box, which I used as a weapon on the playground. In 1979, metal lunch boxes were banned because they were considered dangerous weapons in the hands of delinquents. I also wrote a song called ""Get Your Gunn."" The title is spelled with two n's because the song was a reaction to the murder of Dr. David Gunn, who was killed in Florida by pro-life activists while I was living there. That was the ultimate hypocrisy I witnessed growing up: that these people killed someone in the name of being ""prolife."" The somewhat positive messages of these songs are usually the ones that sensationalists misinterpret as promoting the very things I am decrying
Right now, everyone is thinking of how they can prevent things like Littleton. How do you prevent AIDS, world war, depression, car crashes? We live in a free country, but with that freedom there is a burden of personal responsibility. Rather than teaching a child what is moral and immoral, right and wrong, we first and foremost can establish what the laws that govern us are. You can always escape hell by not believing in it, but you cannot escape death and you cannot escape prison
It is no wonder that kids are growing up more cynical; they have a lot of information in front of them. They can see that they are living in a world that's made of bullshit. In the past, there was always the idea that you could turn and run and start something better. But now America has become one big mall, and because of the Internet and all of the technology we have, there's nowhere to run. People are the same everywhere. Sometimes music, movies and books are the only things that let us feel like someone else feels like we do. I've always tried to let people know it's OK, or better, if you don't fit into the program. Use your imagination – if some geck from Ohio can become something, why can't anyone else with the willpower and creativity?
I chose not to jump into the media frenzy and defend myself, though I was begged to be on every single TV show in existence. I didn't want to contribute to these fameseeking journalists and opportunists looking to fill their churches or to get elected because of their self-righteous finger-pointing. They want to blame entertainment? Isn't religion the first real entertainment? People dress up in costumes, sing songs and dedicate themselves in eternal fandom. Everyone will agree that nothing was more entertaining than Clinton shooting off his prick and then his bombs in true political form. And the news – that's obvious. So is entertainment to blame? I'd like media commentators to ask themselves, because their coverage of the event was some of the most gruesome entertainment any of us have seen. I think that the National Rifle Association is far too powerful to take on, so most people choose Doom, The Basketball Diaries or yours truly. This kind of controversy does not help me sell records or tickets, and I wouldn't want it to. I'm a controversial artist, one who dares to have an opinion and bothers to create music and videos that challenge people's ideas in a world that is watered-down and hollow. In my work I examine the America we live in, and I've always tried to show people that the devil we blame our atrocities on is really just each one of us. So don't expect the end of the world to come one day out of the blue – it's been happening every day for a long time","it is sad to think that the first few people on earth needed no books, movies, or TV. I just loved the experience, and I'm very glad I did. The next chapter was all about living my life, but it is also about my loved ones and the history of Earth, and I'm proud of it!

PS- I always love the message that you wrote. The song ""Love for a Cause"" by JL adds the following words:

I felt my heart break

When I first walked through the door

I knew that the voice<|endoftext|>",gpt2,0.4,1.0,0.5798922467482623,"it is sad to think that the first few people on earth needed no books, movies, or tv. i just loved the experience, and im very glad i did. the next chapter was all about living my life, but it is also about my loved ones and the history of earth, and im proud of it!

ps i always love the message that you wrote. the song love for a cause by jl adds the following words

i felt my heart break

when i first walked through the door

i knew that the voice"
