,Unnamed: 0,genre,original_lyric,generated_lyric,model,PAV,SSV,MSV,cleaned_generated_lyrics
0,0,Rap,"Visualizing the realism of life and actuality
Visualizing the realism of life and actuality

Various women, I'm swimming in, like a shark
Tear the pussy apart, shawty it's on after dark
Step to the mic and now I got ya, call me Young Sinatra
The flow is prominent, hella dominant, on time with it
When I'm rhyming it, several labels itching to sign with it
Let's check the women I'm bringing in with these ill synonyms
Softly killing 'em, in other words; I'm Lauryn Hillin 'em
I swear to god if I could I'd never turn the page
Living the rest of my days on stage
Fucking with bitches that never age
I'm so fly that I defy the laws of physics
I ain't think it was possible for a check to have this many digits
Mathematically exquisite, am I cocky—just a smidget
If you want beef then we can supersize it
Freshman in the game
So they wanna haze me like my name Isaac
I killed the beat and dig a ditch just to fossilize it
To make sure none of you bammers try to reprise it what

Life's a bitch and then you die
That buck that bought a bottle could've struck the lotto
Life's a bitch and then you die
Got rhymes 365 days annual plus some

I'm working a nine to five just to survive, barely staying alive
Hard to stay focused without the drive
See I bus tables and my homie Castro is a waiter
I can't wait to blow and say ""I told you so haters!""
Living the life of a egotistical pistol gripper
Isn't a life for me, I'd rather grip mics and undo girls zippers
But not them ho girls, meet me after the showgirls, but take it slow girls, have 'em coming back for mo' girls

Visualizing the realism of life and actuality

Various managers coming up talking 'bout they got me
But really they shadier than Slim in a pair of Versaces
I know you see me shining, and practicing and grinding
While they conform to the norm you'll catch me designing
A different type of sound
While you was stuck inside the box, I had already been around
Inner peace and happiness I'm always tryna' find it
And I kinda got the feeling that a woman is behind it
So I'm always chasing tails the real-life Sonic
And I'm always spitting fire half black, half demonic
Nah, I'm half black and half white
C'mon this sound it had to come from somewhere, right?
Nah, nah, see homie race is not the issue
And if you stepping to me like it is I'll dismiss you
The second you listen, the second I got you
I swear to god I'm the reincarnated Young Sinatra

Life's a bitch and then you die
That buck that bought a bottle could've struck the lotto
Life's a bitch and then you die
Got rhymes 365 days annual plus some","visualizing the realism of life and actuality visualizing the realism of life and actuality various women, social groups, and movies than male actors and actresses, male actors, TV shows, and musicals. So the main goal of female actors and actresses is to make their films as real as possible, and what they do is to make the audience feel like a real actress in real life and believable. That is the goal of women, men, and the American Beauty and the Beast movie which, you know, looks pretty impressive. But, this movie is not about who is the real person in the<|endoftext|>",gpt2,0.0,0.0,0.0,"visualizing the realism of life and actuality visualizing the realism of life and actuality various women, social groups, and movies than male actors and actresses, male actors, tv shows, and musicals. so the main goal of female actors and actresses is to make their films as real as possible, and what they do is to make the audience feel like a real actress in real life and believable. that is the goal of women, men, and the american beauty and the beast movie which, you know, looks pretty impressive. but, this movie is not about who is the real person in the"
1,1,Rap," + (Lyfe)
Knew I said I would roll wit'chu
Put my lifestyle on hold for you
All them sweet things that I told to you
This conversation is overdue (freeze)
Kid too wild to respect the vow
I just ain't ready to settle down
My name too big in the ghetto now (freeze)
Feels like I'm ready when I'm holdin you
But it's so many honies, what I'm 'posed to do?
Keep sendin them apology notes to you (freeze)
All I need is for you to freeze
This is hard on me, I don't want to leave
But in the meantime, take back your keys and

Freeze - don't change, don't go
Don't leave (just, freeze)
I know girl it's a lot to ask
Tell me what other choice I have
When you love someone this bad
Freeze - don't change, don't go
Don't leave (just, freeze)
And girl I hope you understand
Promise I'll be back for you
When I become a better man
 + (Lyfe)
Why I gotta do this I ain't sho'
Why I gotta wild out, I don't know
I know how it feels I've been hurt befo'
I know you're dissapointed you expected mo' (freeze)
I'm losin a good one, that's fo' sho'
I be tryin to fight but it calls me yo
Please don't change the locks on the do' (freeze)
Quit cryin cause it ain't your fault
Blame it on the streets of New York
Young L gotta walk this walk girl (freeze)
I know it's rough but I need your support
You said it all last time that we fought
So don't talk baby hold that thought and

 + (Lyfe)
(What would you think if I told you that I)
Knew that I was breakin your heart
Wanna explain, but where should I start
(What would you think if I told you that I)
Wake up every mornin with a different girl
Cause I don't wanna settle down before I see the world
(what would you think if I told you that I)
Know exactly what you need indeed
Hate to follow but I'm scared to leave
Too scared love'll get the best of me
I know deep down God is testin me
Hopefully someday I'll give you that ring
But until then just do this one thing
 - repeat 2X w/ ad libs
{*Lyfe ad libs as LL talks*}

It's not like I forgot about you or somethin
I just gotta get this out of my system, knahmean?
If I could just freeze you, y'knahmsayin? It's just
I don't know if I'm ready for all that shit, y'knahmean?
I mean I know we gon' be together one day
Matter of fact I promise you
For now I need you to just (freeze)", + lyfe knew i said i would roll witchu put my lifestyle on hold for three days to fix the lena cause she needs to break up so I do more to support her than anything else. moretejah find me coolas load my dick up in plaid and my pussy really hard now let me taste your pussy wet with your hands hot wet with your pussy spread spread out just out of my eyes dick in front of your ass and on my chest sexy girl I know that you are the hardest woman in the room cant wait for my dick to get back in the l<|endoftext|>,gpt2,0.0,0.0,0.0, + lyfe knew i said i would roll witchu put my lifestyle on hold for three days to fix the lena cause she needs to break up so i do more to support her than anything else. moretejah find me coolas load my dick up in plaid and my pussy really hard now let me taste your pussy wet with your hands hot wet with your pussy spread spread out just out of my eyes dick in front of your ass and on my chest sexy girl i know that you are the hardest woman in the room cant wait for my dick to get back in the l
2,2,Rap,"""Baby, did you hear that?"" ""Yeah, baby, I heard it too""
Look out the window, golly, the sky is electric blue
Mama Earth is dying and crying because of you
Raining cats and jackals, all shackles disintegrate to residue
Silly mortals haven't a clue as to what the fuck is going on
I'm on the telephone dialing the Dungeon (""Hello?"")
This Dre, bring the MP and the SP
Meet me at the center of the Earth and travel carefully
Baby, grab the baby, cause baby, it ain't much time
Mama Earth is tossing and turning and that's a sign
Omega nigga I.F.O.s are landing in Decatur
Hope I'm not over your head, but if so you will catch on later
Played the track, guess she could not take it anymo'
Raping her heavenly body like a ho, coochie so'
From niggas constantly fucking her, never loving her
Never showing appreciation, busting nuts in her face when they done
""Who said good folks is not supposed to die?""

The sky is falling, nobody balling, they done gave back they guns
For some tickets to the playoffs, but the Hornets, they won
Nigga, we slum, kept all the guns, I gotta protect my family
I drove the biggest thing in the house cause I knew they'd try to ram me
But I'm stabbing, making a path on expressway the best way I know how
Look up in the sky, east, west, no clouds
Him coming now, fuck that money now
I ask my honey how she feeling and is Jordan okay? ""Yeah, yeah, she chillin'""
We should be at The Dungeon shortly, ain't nobody on they porch, see?
Approaching the final exit, I'm thinking I see four horsies
But I don't though, nigga, you won't know until it's on ya
I put that on my dope boys from A-Town to California
All the weed smell like ammonia but at the Dungeon I know they're smoking
Writing the raps and doing the beats to make this last recording
Fuck abortion, I got in the booth to run the final portion
The beat was very dirty and the vocals had distortion

""Who said good folks is not supposed to die?""
All's well, nothing's well
All's well, nothing's well
All's well, nothing's well
All's well, nothing's well
All's well, nothing's well
All's well, nothing's well
All's well, nothing's well
All's well, nothing's well
All's well, nothing's well","""baby, did you hear that?"" ""yeah, baby, i heard it too"" look out the window, golly, you seen the cum! 1,533 cum, this is going to feel so good, is it real? 2,280 spanking, your inside tight, cum in my face, fuck, you cumming, deep inside my dick, inside my ass, fuck, yeah, yeah, yeah, baby, how do I feel?"" ""well, look, you know what, baby, you know, I heard you, I love you baby, I love you baby, I love you baby<|endoftext|>",gpt2,0.0,0.0,0.0,"baby, did you hear that? yeah, baby, i heard it too look out the window, golly, you seen the cum! 1,533 cum, this is going to feel so good, is it real? 2,280 spanking, your inside tight, cum in my face, fuck, you cumming, deep inside my dick, inside my ass, fuck, yeah, yeah, yeah, baby, how do i feel? well, look, you know what, baby, you know, i heard you, i love you baby, i love you baby, i love you baby"
3,3,Rap,"Sugar come by and get me high
Sugar come by and get me high
Sugar come by and get me high
Sugar come by and get me high
Sugar come by and get me high
Sugar come by and get me high
Sugar come by and get me high
Sugar come by and get me high
Sugar come by and get me high

Look who's back on the program
Hookin' up another fly joint
When I flow on the slow jam
When I shift I kick the gift
Like a fat drunk and I light up a fat spliff
Take a whiff! Can you smell that in the air
When I'm smokin' up the building from everywhere
Shit I still get down so just sit down
When my thought starts clownin'
Time to skip town when
Yet I go wrong I got to hit my bong
Later on then I'll be getting high all along
I got a friend named Mary Jane
And she makes me feel strange
Now I've got to call out her name

I love you, Mary Jane
Sugar come by and get me high
I love you, Mary Jane
Sugar come by and get me high
I love you, Mary Jane
Sugar come by and get me high
I love you, Mary Jane
Sugar come by and get me high

Can I call mari-juana
If you wanna party
Well, shit, I'm gonna as soon as she comes
Around to my neighborhood
Damn and she always smells good
Let me make this understood
Are you experienced
Have you ever been experienced
Not for the lightweight... make you delirious
Why is the room spinnin'?
I can't stop!
Now I must have been drinking
Cause this ain't pot
That's doing me like this
I feel ill, now I'm calling out to Mary
Cause I just can't deal

I love you, Mary Jane
Sugar come by and get me high
I love you, Mary Jane
Sugar come by and get me high
I love you, Mary Jane
Sugar come by and get me high
I love you, Mary Jane
Sugar come by and get me high
Sugar come by
Sugar come by and get me high
Sugar come by and get me high
Sugar come by and get me high
Sugar come by and get me high
Sugar come by and get me high
Sugar come by and get me high
Sugar come by and get me high
Sugar come by and get me high
Sugar come by and get me high
Sugar come by and get me high
Sugar come by and get me high",sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and<|endoftext|>,gpt2,0.0,0.0,0.0,sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and get me high sugar come by and
4,4,Rap,"Tony dead and his brother too
Streets talkin' every week the coppers comin' through
And homicides scoopin' niggas out of Paulie crew
Damn, he in some shit just like a number two
So he need that lawyer money, plus that Sig Sauer money
On his second body so you don't want to war with money
Paulie got the word that somebody turned informant on him
Remember when he banged on Tony brother spin the corner on him
Maybe its them young niggas, talkin' to the police
Thinking about it every night, ain't been gettin' no sleep
He been spinnin' 'round that same corner for the whole week
Lookin' for them muthafuckers that was there with Tony brother when he let the clip roll on 'em
Going crazy thinkin' 'bout who told on him
Time tickin' doors 'bout to close on him
Them boys on the way to see the judge for a warrant
And they got his name on it, tryna put them chains on him
Cold as them streets is, he tryna remain on it
Even though the cops lurkin', got to keep them things on 'em
Layin' low at Kee crib, only one ain't changed on him
And she givin' info, told where to hit for
Put 'em deep with Tony lil' cousins and his kin folk
Paulie on some other shit, tryna get 'em sent for
Them young nigga bendin' backwards for him like its limbo
And they tryna kill somethin', cops tryna build somethin'
Paulie ain't tryna do no time take a deal, nothin'
Loadin' up his AK banana tryna peel somethin'
Tryna catch a rat nigga slippin' 'fore they spill somethin'
Somebody gon' die
And mommas gon' cry
Before Paulie doin' time
Cause Paulie gon' ride
Back in the field he got his 40 on him
Watchin' out for tinted windows when they pull up on him
He don't even trust the niggas 'round the corner from him
That he grew up with, he done got into it with
Investigatin' niggas if they tellin' or not
And then they feel some type of way he disrespectin' the block
But Paulie don't give a fuck, you disrespect him, you shot
Live by the chopper law and respect of the Glock
Hold up the phone ringin' said they rushin' the spot
The only time he play that crib is when he fuckin' a thot
He was fuckin' with Kee and she was fuckin' an op
But he ain't never think about it, she'll fuck with the cops
She told 'em everything nigga
I know you thought that she'll never sing would you?
Rule number one: keep them bitches from out your business
Rule number two: better kill 'em you know they snitchin'
It's all fun and games 'til them bitches turn to a witness
And know you in the courtroom waiting to get your sentence
Saw you out at Kee crib four in the morn'
Parked up seat low to the floor
She on the way he feel a way, this was one of his whores
And since he been on the run, he been fuckin' em more
Thinkin' about her if she come, open the door
Take a deep breath, I know what I'm doin'
Cause she gon' go to court and she gon' go to the morgue
And he gon' to jail and she gon' go to the mall
So he started walkin' while she parking
Wasn't even cautious
Parked up on her, had to drive her window out the darkness
He was supposed to shoot her, but he started talkin'
She screamin' out ""I'm pregnant,"" now he thinkin' ""Aw shit""
Started second guessin', that's when them cars spin
Paulie heart dropped he seen the Taurus
So he took off runnin' with the hammer, tried to toss it
Cops shootin' metal slugs rippin' through the car tint
Bullets hit his body while he runnin' and now he fallin'
Damn Paulie, bullet holes
Cuffs on let him bleed
Double murder, attempted murder, yes indeed
If he live, life sentence never leave
If he dies nobody cry for the bad guy
Fronted niggas workin' they the glad guys
Happy they ain't got to pay the tab guys
Paulie make it through to see the trap God
Drownin' in his blood on his back side
They say he gon' pull through and he gettin' charged too
Lawyer came to see him said he need like 80 large too
Got him in the County Tony people 'hind them walls too
And they say his little cousin crippin' bangin' hard too
And Paulie killed his favorite little cousin back on Part 2
And he can't wait to fall through
Friday they callin' yard too
And Paulie on crutches took the screw up out the handles scrape that bitch 'til it got sharp too
To be continued
I, know, you, want me to fall
But, I can't
Part 4 gon' be a movie nigga, literally","tony dead and his brother too streets talkin every week the coppers comin through and homicides they find the cops too snappy for no reason but alonous and funhottin them like sis people i did it been with a, probably 12 gang, two males on each gang and two females

2014-11-15 16:44<|endoftext|><|endoftext|>",gpt2,0.4,1.0,0.8333333333333334,"tony dead and his brother too streets talkin every week the coppers comin through and homicides they find the cops too snappy for no reason but alonous and funhottin them like sis people i did it been with a, probably 12 gang, two males on each gang and two females

20141115 1644"
5,5,Rap,"Buddah bless this beat
That's a fool, nah
Yeah, trap shit
No, no, no, no, no, no

Up early in the morning trappin' (Trap-trap)
You can get 'em how you askin' (Ask)
How many chickens? You can get 'em whichever way
Nigga, trap turned Zaxby's (Zax)
I beat the pot with a passion (Beat it up)
A hundred acres on the mansion
I dab in the latest fashion (Eat it up)
Bitches need a call castin' (Yeah)

(*Drinking*) Act (Act!)
Put the backends in the back (Back)
Draco on me, it's attached
Name a nigga with the pack (Pack)
Name a nigga with the sack (Sack)
Elem' o'clock, I got the MAC (MAC)
She eat the molly like a snack (Eat it up)
This gold on my neck a plaque (Plaque)
Bando Shane's Rib Shack (Eat it up)
Rob the plug if he tax (Tax)
Sip the lean and relax (Drink it up)
Park the Lamb in the back (Skrt, skrt)
Big dog, you a cat (Cat)
Rich in the matte black (Skrt, skrt)
Twenty hoes to be exact (Yeah)
I need ten, that's a dime
Want a nickel, that's a five (Yeah)
One to fly, one to slide
One to glide, ain't got time (Yeah)
Put a thirty on my .9
For a nigga out of line (Yeah)
Mama cryin', niggas dyin'
Wonder why I done gripped the fire, yeah

Up early in the morning trappin' (Trap-trap)
You can get 'em how you askin' (Ask)
How many chickens? You can get 'em whichever way
Nigga, trap turned Zaxby's (Zax)
I beat the pot with a passion (Beat it up)
A hundred acres on the mansion
I dab in the latest fashion (Eat it up)
Bitches need a call castin' (Yeah)

Brr, skrr, skrr, skrr, skrr-rr
Pot (Skrr skrr)
Niggas tried to send a thot (Thot)
That's the only way to plot (Plot)
Klay Thomp', corner shot (Brrr)
Eight-ball, corner pocket (Ayy)
White boys in the game (White)
Call 'em Andy Milonakis (Yeah)
He won't hesitate to shoot 'em (Shoot)
Private jet to Bermuda (Woo)
I knew I been had sauce (Who)
'Cause I was fuckin' on my tutor (Who)
Truck backin' up the dually
A hundred pounds out the cooler
Came from a Cup O' Noodles (Ayy)
I fucked the game, Kama Sutra
I got M's on my mind
I got boulders in my time
Put a model bitch on coco
Told her ""Read between the lines"" (Coco)
J's out there snitchin', yeah
Heard it through the vine (J's)
Packin' up the kitchen
Think I ran out of time, yeah

Up early in the morning trappin' (Trap-trap)
You can get 'em how you askin' (Ask)
How many chickens? You can get 'em whichever way
Nigga, trap turned Zaxby's (Zax)
I beat the pot with a passion (Beat it up)
A hundred acres on the mansion
I dab in the latest fashion (Eat it up)
Bitches need a call castin' (Yeah)

Woo woo woo woo woo, packs (Packs)
I paid the ticket, get you whacked (Brrr)
I chop the brick with the axe (Hey)
The cookie smellin' like a casket (Cookie)
I'm sellin' crack in my Rafs (Crack)
Put the addy in the nav (addy)
He steady poppin', know it's cap (Cap)
I hit the jungle, then adapt (Rarr)
30 thousand on the couch (30 ball!)
All my bitches from an app (App)
Instagram and the Snaps (Snap)
I bet a hundred on the craps (Craps)
I'm good on shawty, do without (Ooh)
She fucking niggas for the check (Check)
I'ma only get the mouth
Hop out a Lambo, Corsa on a bitch (Skrt)
I poured a four, Actavis (Act)
Walk in Goyard, got a bag for my bitch
Won't give a kiss 'cause I know you suck dick (Mwah)
Spent you a hundred, Philippe on your wrist (Patek)
Twenty-five pointers, one fist (Points)
Twenty-five bitches on list (Twenty-five)
Kel-tec, rubber band grip (Brrr)

Up early in the morning trappin' (Trap-trap)
You can get 'em how you askin' (Ask)
How many chickens? You can get 'em whichever way
Nigga, trap turned Zaxby's (Zax)
I beat the pot with a passion (Beat it up)
A hundred acres on the mansion
I dab in the latest fashion (Eat it up)
Bitches need a call castin' (Yeah)","buddah bless this beat thats a fool, nah yeah, trap shit no, no, no, no, no, no no, no, no no, no no, no, no no, no no no no, no no no, no no no no no, no no no no no, no no no no, no no no, no no no, no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no<|endoftext|>",gpt2,0.0,0.0,0.0,"buddah bless this beat thats a fool, nah yeah, trap shit no, no, no, no, no, no no, no, no no, no no, no, no no, no no no no, no no no, no no no no no, no no no no no, no no no no, no no no, no no no, no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no"
6,6,Rap,"Get on with life as a Illustrator
I'm an unique kinda person
I like drawing on Sundays
I like watching films in the week
I like to contemplate girls
But when I start to daydream
My mind turns straight to drawing
I like to use words like 'crikey,'
I like to use words like 'Yut.'
I like to use words about girls
But when I stop my talking
My mind turns straight to drawing
I like to hang out with Rachel
I like to kick back with Malik
But when left alone
My mind turns straight to drawing
I'm not too fond of getting sun burnt
I really hate burglars
But I just think back to drawing
And I'm happy once again",get on with life as a illustrator im an unique kinda person i like drawing on me but honestly thats why i dont make a lot of money so when you see me tell the truth I dont sell shit i guess thats why i dont make a lot of money anyway dont bother me anyway I made a lot of money yeah yes yes but why does my money go to my dog like that? yes yes my dog like that fuck yeah yeah yea thats what im saying dont want you to see me not having your dog on the estate like that cause thats not what im really for Cause my dogs<|endoftext|>,gpt2,0.0,0.0,0.0,get on with life as a illustrator im an unique kinda person i like drawing on me but honestly thats why i dont make a lot of money so when you see me tell the truth i dont sell shit i guess thats why i dont make a lot of money anyway dont bother me anyway i made a lot of money yeah yes yes but why does my money go to my dog like that? yes yes my dog like that fuck yeah yeah yea thats what im saying dont want you to see me not having your dog on the estate like that cause thats not what im really for cause my dogs
7,7,Rap,"Through hell you know I'm fighting
Through the yell (Yell), you know I'm fighting
I've been, yeah-yeah, yeah-yeah, yeah-yeah
Through the yell, causing hell, yeah-yeah
Through hell (Hell), you know I'm fighting
Through the yell (Yell), you know I'm fighting
I've been, yeah-yeah, yeah-yeah, yeah-yeah
Through the yell, causing hell, yeah-yeah (I love Trippie Redd)

Roadkill, roadkill, roadkill, roadkill
Roadkill, roadkill, roadkill, roadkill
Roadkill, roadkill, roadkill, roadkill
Roadkill, roadkill, roadkill, roadkill

I've been causing hell, yeah-yeah (Yeah)
I've been causing hell, yeah-yeah (Ayy)
I've been on your trail, not hard to smell
Better find some help, yeah-yeah (I love Trippie Redd)
You not hard to find, yeah-yeah
It's hell, bitch, it's summertime, yeah-yeah
On your ass like a spy, yeah-yeah
And you'd get slimed

Ooh
Ooh
Ooh
Yeah (I love Trippie Redd)
(Yeah)

Through hell you know I'm fighting
Through the yell (Yell), you know I'm fighting
I've been, yeah-yeah, yeah-yeah, yeah-yeah
Through the yell, causing hell, yeah-yeah
Through hell (Hell), you know I'm fighting
Through the yell (Yell), you know I'm fighting
I've been, yeah-yeah, yeah-yeah, yeah-yeah (I love Trippie Redd)
Through the yell, causing hell, yeah-yeah

Roadkill, roadkill, roadkill, roadkill
Roadkill, roadkill, roadkill, roadkill
Roadkill, roadkill, roadkill, roadkill
Roadkill, roadkill, roadkill, roadkill

Through the yell, causing hell, yeah-yeah
(I love Trippie Redd)","through hell you know im fighting through the yell yell, you know im fighting ive been, thats the time to take a breather for real  Im feeling ready to fuck some fucking wall<|endoftext|><|endoftext|>",gpt2,0.0,0.0,0.0,"through hell you know im fighting through the yell yell, you know im fighting ive been, thats the time to take a breather for real  im feeling ready to fuck some fucking wall"
8,8,Rap,"From front to back street, listen, we on a mission
To get right, workin' street corner in the midnight
Picture the scene, these fiends with fire
Ten dollar dreams, scheme, for a sack of that, believe that
I'm wit' whateva like Wheatstraw
Stuck servin' my cocaine raw
Drop sixty-two off the brick, jump back
Twenty over, now that's mo' money to get
Slick, we fin' to lick on this corner without gettin' caught
But time, keep a sleepin' and money gettin' short
Plus that crooked cop Brock think we blow slangin' (fuck him)
That why he ride through the hole with the do' swangin'
But I make moves, shake them tricks up out they shoestrings
Be more precise when we do things
'Cause life is like shakin' the dice, but I buck back twice
Like five-deuce, fo'-trey, okay

I'm strictly stressin' dirty dirty
Gon' represent it to the T-top
Born and bred up on the street top
Get to the money and the sweet spot
And forever hollerin' ""Hootie Hoo!"" when we see cops
I'm strictly stressin' dirty dirty
Gon' represent it to the T-top
Born and bred up on the street top
Get to the money and the sweet spot
And forever hollerin' ""Hootie Hoo!"" when we see cops

Shit, cops and robbers, niggas be bound to get them dollars and cents
They get in a slump like baseball players when they short on they rent
Anything goin', you ain't knowin' how much money you spent
But in the real world you surrounded by these ladies and gents
Who hang around you 'cause you be buyin' all the weed and all the chicken
Feedin' everybody, smokin' 'em out
When you was broke though they was missin'
Now you ridin' 'bout fo' deep, startin' to tear up your suspension
And your baby mamma on child support, my fault, forget to mention
You don't even have a checking account wasn't thinking about no pension
I used to work at Steak 'N' Ale, Old Gold off in the kitchen
Had determination and graduated, now I got the whole rap world fascinated
I wanted a piece of the pie for me and my family so I made it
Continue to sell dope, it's payin' the bills so you gon' do it
But legislation got this new policy: three strikes and you're ruined
Now where your crew at? Yeah

I'm strictly stressin' dirty dirty
Gon' represent it to the T-top
Born and bred up on the street top
Get to the money and the sweet spot
And forever hollerin' ""Hootie Hoo!"" when we see cops
I'm strictly stressin' dirty dirty
Gon' represent it to the T-top
Born and bred up on the street top
Get to the money and the sweet spot
And forever hollerin' ""Hootie Hoo!"" when we see cops

Ay, me and my buddy on the cut and they know we servin' 'em slabs
We better watch what we doing, and look out for Joe Nab
And quit re-ing up and standing on this same old block
Before our gangsta-ass partner get both of us shot
Niggas talkin' 'cause they making some flow
But still ain't did nothin' that ain't been done befo'
You can't be trying to showcase, just put it down for your spot
And improvise and work with that little you got
So I think when I finish selling my last sack
I'ma take some of this money, go and give some back
'Cause people won't forget about the time you gave, knowmsayin'?
And start thinkin' 'bout a path to pave

I'm strictly stressin' dirty dirty
Gon' represent it to the T-top
Born and bred up on the street top
Get to the money and the sweet spot
And forever hollerin' ""Hootie Hoo!"" when we see cops
I'm strictly stressin' dirty dirty
Gon' represent it to the T-top
Born and bred up on the street top
Get to the money and the sweet spot
And forever hollerin' ""Hootie Hoo!"" when we see cops

This is uh… a lil'… tune that we composed back on the first album
I know a lot of y'all, uh, playas out there thought we wasn't gon' come back at y'all with this thang here, but… it go a lil' some' like this!","from front to back street, listen, we on a mission to get right, workin street corner, get low in the dirt, weed out your cars, slingshot for a cool four,"" Lee Thayer wrote in his journal on September 4, 2002. ""If I could see a bigger news section, and a bigger site, I'd be more open to it.""

RELATED: And if your brain can do the math, what is the problem?

No one is stopping me. It's just that when they try to talk me out of a change, I get scared<|endoftext|>",gpt2,0.4,1.0,0.6154631223365412,"from front to back street, listen, we on a mission to get right, workin street corner, get low in the dirt, weed out your cars, slingshot for a cool four, lee thayer wrote in his journal on september 4, 2002. if i could see a bigger news section, and a bigger site, id be more open to it.

related and if your brain can do the math, what is the problem?

no one is stopping me. its just that when they try to talk me out of a change, i get scared"
9,9,Rap,"Come on (come on)
Take it back (take it back)
70's style (style)
I'll do, anything
All y'all old school Studio 54ers
That's, my, word!
There's nothing in the world that I won't do
I'll give my world to you, if you want me to
I'll do, anything
That's, my, word!
O.D.'n on this one fleein, all eyes seein
Dominant supreme being, face the mental
Deep concentration break the point on a pencil
Keep my cliches out your dental, capiche?
Shit that I been through is cause for parental
Discretions no question my Westside Connections
L.A. Confidential, world don't stop
'less it's mental, Staten residentials, you wit it?
Wu-Tang, Forever and a day, 'til I'm old and decayed
I'm commited; look ma, we did it
Top of the the world, tell it to my firstborn
And my baby girl, did it my way, take the low ride
On the highway, out the sunroof, yellin
""Thank God it's Friday!"" Show a nigga love
If he got my sound pull the plug, he's not underground
Call him mud, when I flood the airwaves
Household and stairways (rainy days)
Waiting for these paydays, think not of the ends
If I got twenty, my brother get ten
Now let the madness begin motherfuckers!
There's nothing in the world that I won't do
I'll give my world to you, if you want me to
I'll do, anything.. anything.. anything.. anything..
There's nothing in the world that I won't do
I'll give my world to you, if you want me to
I'll do, anything..
Yo, yo, yo!
We got love for those with love for us
Baby you can look but don't touch, I'm fried off the dust
And plus, the only thing I trust is a fund
Ain't no fun, just paranoid niggas totin guns
In apparel, keep us camouflaged in the shadows
That's where I bring this tale that you never get to tattle
Obliterate the tri-state, and the crime rate
Tell them swine niggas fly straight, you can call it fate
And if it ain't mine, call it fake, bottom line
End the case, spoonfeed the track just a taste
Of the side dish, soup of the day, I come Wright like N'Bushe
For them Dead Presidents
Fuck what you say, and he say, and she say, and they say
Vacate the premises, caught up in the melee
Sentence this song, to twenty-five years hard labor
In the system, where it takes the form of my wisdom
Respect mine, take my time and protect nine
Next on the frontline, Mr. Meth
No more no less, what you see is what your ass get
Set it off I suggest
There's nothing in the world that I won't do
I'll give my world to you, if you want me to
I'll do, anything.. anything.. anything.. anything..
There's nothing in the world that I won't do
I'll give my world to you, if you want me to
I'll do, anything.. anything.. anything..
Not a problem that I can't fix
Cause I can do it, in the mix
Not a problem that I can't fix
Cause I can do it, in the mix","come on come on take it back take it back 70s style style ill do, anything young looking had I guess? how bout you keep the seat low and let the girls drift off Im on the run with the girls on the run I feel like I can get off the street so take a look around Im not from the city Ill get my girl off the street  <|endoftext|><|endoftext|>",gpt2,0.0,0.0,0.0,"come on come on take it back take it back 70s style style ill do, anything young looking had i guess? how bout you keep the seat low and let the girls drift off im on the run with the girls on the run i feel like i can get off the street so take a look around im not from the city ill get my girl off the street  "
