,Unnamed: 0,genre,original_lyric,generated_lyric,model,PAV,SSV,MSV,cleaned_generated_lyrics
0,0,Rock,"Daddy's flown across the ocean
Leaving just a memory
A snapshot in the family album
Daddy, what else did you leave for me?
Daddy, what d'ya leave behind for me?
All in all, it was just a brick in the wall
All in all, it was all just bricks in the wall

Hey!
*Children's playing*","daddys flown across the ocean leaving just a memory a snapshot in the family album daddy, daddy, daddys, daddy. Dad tried to drown her but daddy stopped him, we'll all go home, daddys, daddys, daddy, daddys, daddy, daddy. We did our thing, daddy, daddy, daddys, daddy, daddys, daddy, daddys, daddy. We did our thing daddy, daddy, daddys, daddy, daddys, daddy, daddys, daddy, daddys. Daddy<|endoftext|>",gpt2,0.0,0.0,0.0,"daddys flown across the ocean leaving just a memory a snapshot in the family album daddy, daddy, daddys, daddy. dad tried to drown her but daddy stopped him, well all go home, daddys, daddys, daddy, daddys, daddy, daddy. we did our thing, daddy, daddy, daddys, daddy, daddys, daddy, daddys, daddy. we did our thing daddy, daddy, daddys, daddy, daddys, daddy, daddys, daddy, daddys. daddy"
1,1,Rock,"Hello, hello, hello, hello
Check, check, check

Soothing repeat
I look down at my feet
It's a hypnotist's arm
And it works like a charm
But I won't be deprived
Real world, surreal life
Once inside, there is time
Go to sleep, you'll be fine
In the mornin' you'll find
Real life was such a grind
Off I go, day is done
Where a new one's just begun","hello, hello, hello, hello check, check, check soothing repeat i look down at my feet its time to sleep and it's time to go to bed
mon, hello, hello, hello, hello kiss, kiss mmmm oh, my mind is as small as a ring
mon, hello, hello, hello, hello, hello, hello, hello my sister and I kiss, kiss, kiss My lips are soft and I love you too much to let go
mon, hello, hello, hello, hello, hello, hello, hello, hello kiss, kiss my lips are soft and<|endoftext|>",gpt2,0.4886242347158129,0.9334342051938088,0.6144389741475114,"hello, hello, hello, hello check, check, check soothing repeat i look down at my feet its time to sleep and its time to go to bed
mon, hello, hello, hello, hello kiss, kiss mmmm oh, my mind is as small as a ring
mon, hello, hello, hello, hello, hello, hello, hello my sister and i kiss, kiss, kiss my lips are soft and i love you too much to let go
mon, hello, hello, hello, hello, hello, hello, hello, hello kiss, kiss my lips are soft and"
2,2,Rock,"Oh, sweet thing
Zion doesn't love You
And Babylon don't love You
But You love everything
Oh, You saint
America don't love You
So I could never love You
In spite of everything

In the dark of this place
There's the glow of Your face
There's the dust on the screen
Of this broken machine
And I can't help but feel
That I've made some mistake
But I let it go
Ya Hey, Ya Hey, Ya Hey

Through the fire and through the flames
(Ya Hey, Ya Hey)
(Ut Deo, Ya Hey)
(Ut Deo, Deo)
You won't even say Your name
(Ya Hey, Ya Hey)
(Ut Deo, Ya Hey)
(Ut Deo, Deo)
Through the fire and through the flames
You won't even say Your name
Only ""I am that I am""
But who could ever live that way?
(Ya Hey, Ya Hey)
Ut Deo, Ya Hey
Ut Deo, Deo

Oh, the motherland don't love You
The fatherland don't love You
So why love anything?
Oh, good God
The faithless, they don't love You
The zealous hearts don't love You
And that's not gonna change

All the cameras and files
All the paranoid styles
All the tension and fear
Of a secret career
And I can't help but feel
That You seen the mistakes
But You let it go
Ya Hey, Ya Hey, Ya Hey

Through the fire and through the flames
(Ya Hey, Ya Hey)
(Ut Deo, Ya Hey)
(Ut Deo, Deo)
You won't even say Your name
(Ya Hey, Ya Hey)
(Ut Deo, Ya Hey)
(Ut Deo, Deo)
Through the fire and through the flames
You won't even say Your name
You say, ""I am that I am""
But who could ever live that way?
(Ya Hey, Ya Hey)
Ut Deo, Ya Hey
Ut Deo, Deo

Outside the tents
On the festival grounds
As the air began to cool
And the sun went down
My soul swooned
As I faintly heard the sound
Of You spinning ""Israelites""
Into ""19th Nervous Breakdown""

Through the fire and through the flames
(Ya Hey, Ya Hey)
(Ut Deo, Ya Hey)
(Ut Deo, Deo)
You won't even say Your name
(Ya Hey, Ya Hey)
(Ut Deo, Ya Hey)
(Ut Deo, Deo)
Through the fire and through the flames
You won't even say Your name
Only ""I am what I am""
But who could ever live that way?
(Ya Hey, Ya Hey)
Ut Deo, Ya Hey
Ut Deo, Deo
Through the fire and through the flames
You won't even say Your name
Only ""I am that I am""
But who could ever live that way?
(Ya Hey, Ya Hey)
Ut Deo, Ya Hey
Ut Deo, Deo","oh, sweet thing zion doesnt love you and babylon dont love you but you love everything youve got<|endoftext|><|endoftext|>",gpt2,0.0,0.0,0.0,"oh, sweet thing zion doesnt love you and babylon dont love you but you love everything youve got"
3,3,Rock,"Waking up dead, inside of my head
Would never, never do, there is no med
No medicine to take
I've had a chance to be insane
Asylum from the falling rain
I've had a chance to break

It’s so bad, it’s got to be good
Mysterious girl misunderstood
Dressed like a wedding cake
Any other day and I might play
A funeral march for Bonnie Brae
Why try and run away?

Slow cheetah come before my forest
Looks like it's on today
Slow cheetah come, it's so euphoric
No matter what they say

I know a girl, she worked in a store
She knew not what her life was for
She barely knew her name
They tried to tell her, she would never be
As happy as a girl in a magazine
She bought it with her pay

Slow cheetah come before my forest
Looks like it's on today
Slow cheetah come, it's so euphoric
No matter what they say

Everyone has so much to say
They talk, talk, talk their lives away
Don’t even hesitate
Walking on down to the burial ground
It’s a very old dance with a merry old sound
Looks like it's on today

Slow cheetah come before my forest
Looks like it's on today
Slow cheetah come, it's so euphoric
No matter what they say
Slow cheetah come before my forest
Looks like it's on today
Slow cheetah come, it's so euphoric
No matter what they say","waking up dead, inside of my head would never, never do, there is no med no heal on him again after that.""

Another young man came in a flash. He was sitting on the floor, blinking his eyes at me as if he were a shell, and in a flash he was walking in front of me. He was a sailor, and it was a beautiful day. ""You could feel the fire, its still burning, if I could walk,"" he said, ""I feel his lungs. They will take you out of here tomorrow.""

""Don't cry<|endoftext|>",gpt2,0.4,1.0,0.7004312439051266,"waking up dead, inside of my head would never, never do, there is no med no heal on him again after that.

another young man came in a flash. he was sitting on the floor, blinking his eyes at me as if he were a shell, and in a flash he was walking in front of me. he was a sailor, and it was a beautiful day. you could feel the fire, its still burning, if i could walk, he said, i feel his lungs. they will take you out of here tomorrow.

dont cry"
4,4,Rock,"At my feeding time
She'd push food through the door
I crawl towards the crack of light
Sometimes I can't find my way
Newspapers spread around
Soaking all that they can
A cleaning is due again
A good hosing down

The lady whom I feel maternal love for
Cannot look me in the eyes
But I see hers and they are blue
And they cock and twitch and masturbate

Why?
I said so
I said so
I said so

Nirvana
Nirvana
Nirvana
Nirvana
Nirvana

Black windows of paint
I scratch with my nails
I see others just like me
Why do they not try to escape?
They bring out the older ones
They point at my way
They come with their flashing lights
And take my family away

And very later I have learned to
Accept some friends of ridicule
My whole existence is for your amusement
And that is why I'm here with you

To take
Me with
Your life

Nirvana
Nirvana
Nirvana
Nirvana
Nirvana
Nirvana
Nirvana
Nirvana","at my feeding time shed push food through the door i crawl towards the crack of it ruminations from my companion that will sing my praises along with me as we climb out of the rubble in love Is I dying to hear the sweet melodies you whisper upon your eyelids When your mind shines like an angel of its own Desperate nights in vain to satisfy your hunger, sometimes only your soul has the answers Why were the things so hard? For they were so painful? I can see your eyes, the need in them Now is the time to die you know? Wish me good<|endoftext|>",gpt2,0.0,0.0,0.0,"at my feeding time shed push food through the door i crawl towards the crack of it ruminations from my companion that will sing my praises along with me as we climb out of the rubble in love is i dying to hear the sweet melodies you whisper upon your eyelids when your mind shines like an angel of its own desperate nights in vain to satisfy your hunger, sometimes only your soul has the answers why were the things so hard? for they were so painful? i can see your eyes, the need in them now is the time to die you know? wish me good"
5,5,Rock,"I look at you all, see the love there that's sleeping
While my guitar gently weeps
I look at the floor and I see it needs sweeping
Still my guitar gently weeps

I don't know why nobody told you
How to unfold your love
I don't know how someone controlled you
They bought and sold you

I look at the world and I notice it's turning
While my guitar gently weeps
With every mistake we must surely be learning
Still my guitar gently weeps

I don't know how you were diverted
You were perverted too
I don't know how
You were inverted
No one alerted you

I look from the wings at the play you are staging
While my guitar gently weeps
As I’m sitting here, doing nothing but aging
Still my guitar gently weeps","i look at you all, see the love there thats sleeping while my guitar gently weeps my shoulder

there is another rainbow to shine upon you<|endoftext|><|endoftext|>",gpt2,0.4,1.0,0.7842069638542641,"i look at you all, see the love there thats sleeping while my guitar gently weeps my shoulder

there is another rainbow to shine upon you"
6,6,Rock,"Trying to make a difference
But where the fuck did you go wrong?
Lying to all the names and faces
That have been there all along
How can you ask me to just forget?
All the sick lines
And the words you said
How can you ask me to just forget?
Deny the promises you've made
The things you said
That you hold dear
Behind your empty words
You hide and wait
Until that you fall in the clear
How can you ask me to just forget?
All the sick lines
And the words you said
How can you ask me to just forget?
Just don't ask me to just forget","trying to make a difference but where the fuck did you go wrong? lying to all the people? Teaching them how to avoid thinking of themselves as lazy? Taking away anything? A life and death situation where they don't know anything? Stealing something? Crap, leave that one alone! Well done, blind, unconscious, and for a while.<|endoftext|><|endoftext|>",gpt2,0.0,0.0,0.0,"trying to make a difference but where the fuck did you go wrong? lying to all the people? teaching them how to avoid thinking of themselves as lazy? taking away anything? a life and death situation where they dont know anything? stealing something? crap, leave that one alone! well done, blind, unconscious, and for a while."
7,7,Rock,"Tracklist1. Intro
2. Arrival In Nara
3. Nara
4. Every Other Freckle
5. Left Hand Free
6. Garden Of England
7. Choice Kingdom
8. Hunger Of The Pine
9. Warm Foothills
10. The Gospel Of John Hurt
11. Pusher
12. Bloodflood Pt. II
13. Leaving Nara
14. Lovely Day (Bonus Track)","tracklist1. intro 2. arrival in nara 3. nara 4. every other freckle 5. left hand free 6. why dont you sing? 7. please tell me where I'm going 8. I don't care if you know it, I know that youre all good 9. how do you feel? 10. oh, my god, we have to go 10. how do you feel?<|endoftext|><|endoftext|>",gpt2,0.0,0.0,0.0,"tracklist1. intro 2. arrival in nara 3. nara 4. every other freckle 5. left hand free 6. why dont you sing? 7. please tell me where im going 8. i dont care if you know it, i know that youre all good 9. how do you feel? 10. oh, my god, we have to go 10. how do you feel?"
8,8,Rock,"Hey, the love of two
A desire, is what's for you
Is it real? a lulliby?
Face to face, with an unamed mouth
Hey! hey! heyyyy! hey! hey! heyyyy!
Feel the spirit form, in his eyes was loving for
And his lion's were raging high, hunts himself & fears his ripe
Hey! hey! heyyyy! hey! hey! heyyyy!
Heyyyyyyyyyyy!","hey, the love of two a desire, is whats for you is it real? a lulliby? and nothing is too important a hoe, he's in you now

I didn't know how to be happy when I was told I was going to cry

Hey I love you in your arms

Sheesh, I love you soooooo hard! I love you soooooo hard!

I love you in your arms, babe oh boy babe oh boy baby, I love you soooooo hard!

Im so sweet, I love you soooooo<|endoftext|>",gpt2,0.4,1.0,0.558780377623222,"hey, the love of two a desire, is whats for you is it real? a lulliby? and nothing is too important a hoe, hes in you now

i didnt know how to be happy when i was told i was going to cry

hey i love you in your arms

sheesh, i love you soooooo hard! i love you soooooo hard!

i love you in your arms, babe oh boy babe oh boy baby, i love you soooooo hard!

im so sweet, i love you soooooo"
9,9,Rock,"Everybody calls me the quiet one
You can see but you can't hear me
Everybody calls me the quiet one
You can try but you can't get near me
I ain't never ever had the gift of gab
But I can talk with my eyes
Words fail me but you won't nail me
My eyes can tell you lies

Still waters run deep so be careful I don't drown you
You've got nothing to hear I've got nothing to say
Sticks and stones may break your bones
But names can never down you
It only takes two words to blow you away

Everybody calls me the quiet one
But you just don't understand
You can listen you won't hear me
With your head stuck in the sand
I ain't never had time for words that don't rhyme
My head is in a cloud
I ain't quiet - everybody else is too loud

Still waters run deep so be careful I don't drown you
You've got nothing to hear I've got nothing to say
Sticks and stones may break my bones
But names can never down you
It only takes two words to blow you away","everybody calls me the quiet one you can see but you cant hear me everybody calls me the loud one. you know me well enough you wont be called the loud one no more nevermind but you wont be called the loud one!""
But now, this stuff is just not real anymore.""
""Weve got to get that fuck out of here.""
""Oh, fuck it!""
""All I'm gonna do is let my demons keep fucking me alive forever!""
""Alright, okay! We can go.""
""Let me get you back to your cabin<|endoftext|>",gpt2,0.2804100985531088,0.9361268620847005,0.4895504545928291,"everybody calls me the quiet one you can see but you cant hear me everybody calls me the loud one. you know me well enough you wont be called the loud one no more nevermind but you wont be called the loud one!
but now, this stuff is just not real anymore.
weve got to get that fuck out of here.
oh, fuck it!
all im gonna do is let my demons keep fucking me alive forever!
alright, okay! we can go.
let me get you back to your cabin"
