,Metal,PAV,SSV,MSV
0,"down fell the stars as they splashed into the sea 
 ""mi nomine baphomet"", come dance 
 
 I see the fading 
 
 I can't have a thing 
 I'm addicted 
 I'm going to do you 
 You can't take me 
 You don't want me 
 I don't want to 
 You don't know what you 
 I don't know what you're 
 I don't care 
 I'm not afraid of dying, 
 I don't care 
 I don't want to be 
 I don't care what you will be 
 I don't wanna to be alone 
 
 I don't wanna to be the 
 I don't wanna be, I don't wanna",0.4047967374359416,1.0,0.4872516415798531
1,"yesterday is gone forever 
 no turning back the clock 
 in the end, all is gone 
 And now you no one 
 
 
 And we the cracks, 
 We're going down in the 
 
 
 
 And it feels, 
 
 
 
 I mean, it me 
 
 
 
 
 I mean, I mean, I am 
 I mean, I am 
 
 
 
 I mean, I am 
 
 
 
 I mean, I know, 
 I mean, I am 
 I am 
 
 
 
 I mean, I mean, I do. 
 Q Prime 
 
 
 
 
 
 ""I can't be a superstar 
",0.0,1.0,0.5210500995236741
2,"crisis feeds the lunacy 
 all fear the new machine 
 consumed democracy returns a socialist 
 And your the mariner longer the 
 Just a place 
 When you sun 
 When the storm 
 We're time in the sky 
 When you collide 
 
 We all die in the eyes 
 We have to be free 
 We never give in 
 We never give in 
 We never give in 
 We never give in 
 We never give in 
 We never give in 
 We just wanna be just be one 
 No one can be us 
 
 And when you world 
 We will to tall 
 We've",0.44694333326720787,1.0,0.4655862962048152
3,"lay beside me, tell me what ""they've"" done 
 speak the words i wanna hear to sound 
 
 
 I know the much 
 I wanna you be awakened 
 I don't want to be your 
 You don't wanna be so 
 I don't wanna be innocent, 
 I don't wanna be innocent, 
 I don't wanna be innocent, 
 I don't wanna be innocent, 
 I don't wanna be innocent, 
 I don't wanna be, I'm a man 
 I don't wanna to be a gang to I can 
 I don't want to be a gang 
 I don't know what I'm wrong 
 I don't know what I'm doin' 
 I",0.0,1.0,0.5015595418075512
4,"the sky was clear that night 
 we were alone 
 and so much in love 
 When I step you 
 And I can't seem to see 
 
 I don't know what to do 
 I don't need you to 
 I don't know what you do 
 I don't care what you want 
 I don't know what to do 
 I don't care what you do 
 I just can't wait to see you 
 I can't feel the 
 I can't have you blues 
 I can't believe I can't have you blues 
 I can't have you, blues 
 I can't feel it 
 I'm going to crash, 
 I'm",0.4827713511344058,1.0,0.48701311014330684
5,"in my name 
 so they cast out demons 
 they shall speak in new tongues 
 
 Maybe you you've there's in silence 
 And the were sun to 
 
 
 
 I don't know where to 
 
 
 
 
 
 
 
 
 This is the eye-- 
 
 
 
 And I don't want 
 
 
 
 I mean, I am 
 
 
 
 
 I mean, was totally 
 
 
 
 
 I was, really, 
 
 
 
 I mean, I mean, 
 like, 
 
 
 
 - Right. 
 
 
 
 I mean, there's I totally the 
 
 
 
 
",0.0,1.0,0.5237184791084708
6,"compassion is broken now 
 my will is eroded now 
 desire is broken now 
 I am the dragon of the 
 I don't want to be waving victim 
 I don't wanna to be with 
 I don't wanna be a hero 
 I don't wanna to be a victim 
 
 
 I don't have to prove 
 I don't know what you 
 
 
 
 
 I mean, I mean, I am 
 
 
 
 
 And I mean, it regular. 
 
 
 
 I mean, I'm like, I know 
 
 
 
 Do you like you 
 to 
 
 
 
 
 They play the and",0.0,1.0,0.5260555028076963
7,"voices are calling from somewhere below 
 melting on the eastern shore 
 rain is falling down 
 Red rain is pouring down 
 Pouring the the 
 Red rain coming down 
 Red rain is pouring down 
 Pouring down all the 
 Red rain is pouring down 
 Pouring down the all 
 Down down the drain 
 
 I am the damaged the 
 I am the you 
 I am the thorn 
 I am titanium thorn 
 I am the enemy 
 I am your thorn 
 I am the thorn 
 I am the thorn 
 I am the thorn 
 I am the thorn 
 I am the thorn",0.5727682471120512,1.0,0.46507772320792784
8,"pounding the world like a battering ram 
 forging the furnace for the final grand slam 
 Hear the groans 
 I guess I know 
 
 I see the yeah, 
 I see the light 
 I know the secrets 
 I know that pieces fit 
 I know what you plague yourself 
 I know why the spending 
 I know why you plague yourself 
 I know what you plague yourself 
 I know why you plague yourself 
 I know why you plague yourself 
 I know I know why you meant, 
 I know what you plague yourself 
 I know what you exist) 
 I know why you plague yourself",0.5428192495112836,1.0,0.4874891528318586
9,"it is sad to think that the first few people on earth needed no books, movies, 
 Can't you hear your scream, 
 And I know the I am 
 
 I am the one doom's of the stranger We don't give a damn 
 I want be elected, elected, elected 
 
 
 
 
 It's been a thing 
 
 
 
 I just felt the kind of, like, 
 
 
 
 I don't know. 
 
 
 
 And the that is looped 
 
 
 
 
 No matter what it is 
 
 
 
 I mean, it like, 
 
 
 
 And I actually 
 
 
 
",0.0,1.0,0.5305061951494469
