,Soul,PAV,SSV,MSV
0,"should you stay should you go 
 hmm ""you're"" beginning to see 
 i blow hot 
 Ah, what's happening 
 
 I don't know what to do 
 I don't wanna do wrong 
 I don't wanna do wrong 
 I don't wanna do wrong 
 I don't wanna do wrong 
 I don't wanna do wrong 
 I don't wanna do wrong 
 (But I don't wanna do wrong 
 I don't wanna do wrong 
 I don't wanna do wrong 
 I don't wanna do wrong 
 (But you know I love you 
 
 Float on, float on, float on, float on 
 (Don't you know I want your love, don't you",0.621800796611817,1.0,0.5154247745846077
1,"i am in love with a beautiful girl 
 i am in love with a beautiful thing 
 And I say it was all 
 And I know it's just to be your man 
 But I want to be your man 
 And I don't want to be your Mrs 
 I don't need no doctor 
 You know I need you to be mine 
 I want you to know 
 Tell me, tell me, tell me, tell me whatcha lookin' at 
 Tell me, tell me, tell me whatcha lookin' at 
 Tell me, tell me, tell me whatcha lookin' at 
 Tell me, tell me, tell me, tell me, tell me whatcha",0.6134309020180351,0.9684028293019504,0.5042933219754966
2,"no no no 
 no no no 
 my world has fell apart ‘cause you don’t believe me 
 You know I know you know 
 
 Do you know, what I mean ? 
 Have your eyes really seen ? 
 Do you know, what it is ? 
 Do you know what I mean ? 
 
 Oh, let me tell you 
 I got to be my lover, 
 I ain't got no money, 
 I got a Basketball Jones, oh baby 
 I got a Basketball Jones, oh baby (Eat 
 And I want a little bit of my baby 
 I want you to know why I love you 
 I",0.4455786578281416,1.0,0.4837995762764453
3,"some boys just got the look of a greek adonis 
 ""an'"" some boys just try to get away 
 
 I got to go on 
 I got to have you to get 
 I got to get back 
 I got to go 
 I got to get over 
 Tryin' to get over 
 Tryin' to get over 
 Tryin' to get over 
 Tryin' to get over 
 Tryin' to get over 
 Tryin' to get over 
 Tryin' to get over 
 Tryin' to get over 
 Tryin' to get over 
 Tryin' to get over 
 Tryin' to get over 
 Tryin' to get over 
 Tryin' to get over",0.822683633752294,1.0,0.5322494208588701
4,"sitting here thinking about the times ""i've"" roamed 
 different girls that i have known 
 That I could not let it be 
 
 Let it rain 
 Baby, let it rain, rain, let it rain 
 Let it rain, let it rain 
 Let it rain, let it rain) 
 (Let it be), let it rain, rain, rain 
 Whisper than the past 
 I’d let it be 
 And I don't want you to stay 
 And I know it's true 
 I want to be with you 
 I want to be with you 
 Oh, I want to be with you, I want to be 
 I want to be with",0.5352967553720349,1.0,0.5088043835347111
5,"ah, he can buy her diamonds, he can buy her pearls 
 he can send her 
 Mama told me she loves me 
 Nobody loves me like you do 
 
 You deserve better, babe 
 You deserve better, babe 
 You know I love you 
 You know that I love you 
 And I know I love you 
 And I love you 
 I love you 
 I love you 
 I love you 
 I love you so 
 I love you 
 I love you so 
 I love you so much 
 I love you, I love you 
 I love you 
 I love you 
 I love",0.7434370674356626,1.0,0.5110444874752389
6,"alone tonight 
 begin tonight 
 till ""it's"" all right 
 damn lover friend of mine 
 
 And I'm homeless on the smooth edge 
 I'll be with you 
 Forever and ever 
 My darling, you is just for a little 
 But you are sharing your game, they bore you 
 If you're a regular guy, 
 You can see a song 
 
 And I know you won't let me go 
 
 Don't you know that I won't let you go, yeah 
 I won't let go 
 I can't let, I can't let go 
 I can't let, I can't let her get away 
 I can't let, I can't",0.37471392137429893,1.0,0.48521465244564155
7,"magdalena sits in her chair speaking of the mass 
 she talks in slicing splinters, she laughs 
 She says I am the one 
 
 She says I am the one 
 From the mess of the ghetto 
 Ghetto letto... 
 My soul is in the air 
 A little corner newsstand 
 And I bet the rain 
 Of the rain 
 The moon and the moon 
 The moon 
 The moon 
 The moon 
 The of the moon 
 The moon 
 The moon 
 The 
 The moon 
 The of people 
 The kind of love 
 Of the night 
 Of such a chance 
 To the",0.4720067762267832,1.0,0.46568659306288607
8,"""i'm"" a love man 
 call me a love man 
 ooh baby, ""i'm"" a love song 
 And I know that I'm in love with you 
 I really need you 
 
 I need you 
 I need you 
 
 I need you 
 It's a man's love 
 I love you, baby 
 I love you, baby 
 I love you 
 I love you, I love you 
 I love you, I love you 
 I love you 
 I love you 
 I love you 
 I love you 
 I love you 
 I love you so 
 I love you so much 
 And I love you so",0.6962394025953076,1.0,0.5168229848160354
9,"hee-hee ! 
 ooh ! 
 ""g'on"" girl ! 
 aaow ! 
 hee ! 
 I need some get-back 
 I need to sing a little bit 
 I want a Sunday woman 
 A little bit more 
 I'm a fool for a guy 
 I'm a man 
 I'm a bitch 
 I'm a playboy 
 Highly respectable playboy, 
 I'm a bitch 
 Stone 
 I'm a playboy 
 Highly respectable playboy, 
 I'm a bitch 
 Highly respectable playboy, 
 I know I'm able, 
 I can't stand it 
 I can't stand it 
 I can't stand it 
 I can't stand it 
 I can't stand it 
 I",0.4204111648834077,1.0,0.4676066078746127
10,"born to open for 
 mankind ""nature's"" door 
 a life known by a few 
 And I know it's all untrue 
 That I know it's so clear 
 And I know that I know that 
 When I feel so much 
 And I feel like I do 
 I said I roared 
 And I had to say to you 
 I just can't let you go 
 I don't want to be your Mrs 
 I don't want you to know 
 (I need your body) Oh, darlin' 
 I need your love so badly 
 
 I need your love 
 I need your love, I need your love 
 Godspeed,",0.4129238011910233,1.0,0.4896626833645536
11,"oh, when the saints go marching in (2x) 
 i want to be in that number 
 
 We can touch the world 
 And the things we have 
 We got to make it good 
 We got to have peace"" 
 That's the power of love 
 We got to have peace 
 We got to have peace 
 We got to have peace 
 We got to have peace 
 We got to have peace 
 We got to have peace 
 To the world peace, peace 
 We got to have peace 
 Let us all (all go back) 
 People the world we got to go together 
 We got to",0.5470354112583831,1.0,0.49664657192048156
12,"belle 
 the lord and ""i've"" been friends for a mighty long time 
 ooh hoo, my mind 
 If I can't be with you 
 It's all in my life, I can't be close to you 
 No matter how the night 
 So let's love me in the sky 
 And the world is all I need 
 
 One more time I start to say 
 
 Love me tender, good God 
 Make me feel so good 
 Feels so good 
 You'll never leave me 
 Though you came to me 
 
 Hey baby, I need you 
 I want you to be my baby 
 I need you in",0.37551525502013167,1.0,0.4780541081239633
13,"we come in peace 
 ""we're"" coming in peace 
 we come in love 
 alien in the manger 
 We can set our heads together 
 And let's be together 
 We can feel 
 Share the fire 
 Let me be your bodyguard 
 If you ever need your hand 
 Don't want to be right there 
 There's no one else 
 It's time to be 
 You don't need no ticket 
 You don't need no ticket, 
 You don't need no ticket 
 You don't need no ticket 
 You don't need to say 
 You don't need to (get on 
 You don't need to be friends 
 You don't",0.4481037914967191,0.9761142187350365,0.4772424015946015
14,"""ain't"" nobody 
 (no...) 
 going to turn me around no more 
 (no...) 
 ""ain't"" here with me 
 Yeah 
 
 I know I couldn't make it all 
 But I know I can work it up) 
 I know I know 
 That I know that I love you, girl 
 I know you can't see me 
 'Cause you know I'm coming from 
 I'm coming home 
 (Coming home) Coming home 
 (Coming home) Coming home 
 (Coming home) 
 Oh, baby 
 (Love you 
 It's alright 
 Oh, baby, yeah 
 
 Oh, yeah 
 I wanna say that I wanna know 
 I wanna know (I want to",0.4350540526040758,1.0,0.520154425414954
15,"ai-ai-ai-ai 
 oh-oh-oh-oh 
 si-ai-ai-ai 
 oh-oh-oh-oh 
 south of the border 
 down mexico way 
 Let the world go by 
 I don't wanna lose you 
 I don't wanna go 
 I don't wanna do wrong 
 I don't wanna do wrong 
 (But you don't need no doctor 
 Dry you're all I need 
 
 If you don't want to freak 
 And I'll be with you 
 And you always remember what you are 
 And I can tell you, I can say 
 How could you be mine 
 How did I get so far gone ? 
 How did I get so far gone ? 
 Where can",0.42629051573129073,1.0,0.48364864066986823
16,"it was early in the ""mornin'"" 
 i heard the rooster crow for day 
 it took me through the night 
 I could be with you 
 
 I can't explain the things you say 
 I love you when I say 
 I love you any ole way, now 
 I love you any ole way, now 
 I love you any ole way, now 
 I love you any ole way, now 
 I love you any ole way, girl 
 I love you any ole way, baby 
 I love you any ole way, now 
 I love you any ole way, now 
 I love you, I love you 
 I",0.6408121090706318,1.0,0.5047985868203906
